Unnamed: 0,G,GLS,GPG,AST,APG,BLK,BPG,+ / -,+/- PG,CMP,CPG,CMP %,PP,PPG,RY,RYG,TY,TYG
Sean McDougall,16,61,3.81,29,1.81,24,1.5,93,5.81,194,12.13,94.2,377,23.56,0,0,0,0
Chris Mazur,12,23,1.92,53,4.42,5,0.42,48,4.0,287,23.92,90.5,283,23.58,0,0,0,0
Zach Theodore,15,30,2.0,15,1.0,24,1.6,57,3.8,77,5.13,93.9,319,21.27,0,0,0,0
Jesse Cohen,13,30,2.31,33,2.54,5,0.38,44,3.38,207,15.92,91.6,260,20.0,0,0,0,0
Eli Friedman,7,19,2.71,17,2.43,4,0.57,23,3.29,158,22.57,90.3,156,22.29,0,0,0,0
Eric Lissner,16,24,1.5,35,2.19,15,0.94,44,2.75,224,14.0,89.6,348,21.75,0,0,0,0
Brent George,15,39,2.6,7,0.47,6,0.4,39,2.6,199,13.27,95.2,315,21.0,0,0,0,0
Jeffrey Silverman,14,11,0.79,9,0.64,24,1.71,36,2.57,63,4.5,90.0,248,17.71,0,0,0,0
Timothy Beatty,15,15,1.0,43,2.87,3,0.2,33,2.2,516,34.4,95.2,348,23.2,0,0,0,0
Michael Kiyoi,15,13,0.87,17,1.13,9,0.6,32,2.13,140,9.33,95.9,245,16.33,0,0,0,0
Tyler Bacon,16,16,1.0,35,2.19,16,1.0,34,2.13,255,15.94,89.5,353,22.06,0,0,0,0
Steven Brooks,8,6,0.75,13,1.63,0,0.0,16,2.0,125,15.63,99.2,142,17.75,0,0,0,0
Aaron Weaver,11,11,1.0,7,0.64,9,0.82,21,1.91,94,8.55,96.9,183,16.64,0,0,0,0
Mark Elbogen,11,19,1.73,16,1.45,1,0.09,21,1.91,158,14.36,94.0,190,17.27,0,0,0,0
Tom Doi,7,6,0.86,14,2.0,10,1.43,12,1.71,85,12.14,85.0,124,17.71,0,0,0,0
Brandon Severson,14,8,0.57,7,0.5,13,0.93,24,1.71,78,5.57,95.1,229,16.36,0,0,0,0
Alex Drum,9,7,0.78,5,0.56,4,0.44,14,1.56,39,4.33,97.5,133,14.78,0,0,0,0
Sam Plasman,12,11,0.92,2,0.17,6,0.5,16,1.33,20,1.67,87.0,146,12.17,0,0,0,0
Ryan Lepore,7,7,1.0,3,0.43,4,0.57,9,1.29,23,3.29,88.5,100,14.29,0,0,0,0
Jacob Bartholomew,1,1,1.0,0,0.0,0,0.0,1,1.0,5,5.0,100.0,19,19.0,0,0,0,0
Nate Ransom,15,11,0.73,11,0.73,8,0.53,15,1.0,159,10.6,91.9,243,16.2,0,0,0,0
Zac Schakner,15,7,0.47,4,0.27,12,0.8,12,0.8,103,6.87,91.2,243,16.2,0,0,0,0
Andrew Padula,15,10,0.67,2,0.13,5,0.33,12,0.8,48,3.2,98.0,244,16.27,0,0,0,0
Matt Theologidy,15,3,0.2,12,0.8,8,0.53,11,0.73,155,10.33,93.9,219,14.6,0,0,0,0
Ronnie Eder,4,2,0.5,0,0.0,0,0.0,2,0.5,7,1.75,100.0,56,14.0,0,0,0,0
Allen Lai,9,3,0.33,6,0.67,3,0.33,4,0.44,322,35.78,97.6,189,21.0,0,0,0,0
Stephanie Pritchard,4,3,0.75,0,0.0,0,0.0,1,0.25,14,3.5,87.5,74,18.5,0,0,0,0
Andrew McRae,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,1,1.0,0,0,0,0
Caleb Ferguson,4,2,0.5,1,0.25,0,0.0,0,0.0,11,2.75,84.6,60,15.0,0,0,0,0
Ted Barnett,5,1,0.2,3,0.6,2,0.4,-1,-0.2,32,6.4,86.5,83,16.6,0,0,0,0
