Player,G,GLS,GPG,AST,APG,BLK,BPG,+ / -,+/- PG,CMP,CPG,CMP %,PP,PPG,RY,RYG,TY,TYG
Peter Graffy,13,28,2.15,31,2.38,32,2.46,67,5.15,223,17.15,90.7,355,27.31,0,0,0,0
Colin Camp,14,43,3.07,24,1.71,3,0.21,54,3.86,233,16.64,95.9,245,17.5,0,0,0,0
Andrew Meshnick,13,9,0.69,31,2.38,28,2.15,48,3.69,144,11.08,89.4,348,26.77,0,0,0,0
Scott Richgels,3,6,2.0,4,1.33,3,1.0,11,3.67,34,11.33,97.1,50,16.67,0,0,0,0
Thomas Coolidge,11,17,1.55,13,1.18,12,1.09,38,3.45,106,9.64,97.2,204,18.55,0,0,0,0
Sterling Knoche,11,17,1.55,3,0.27,22,2.0,37,3.36,38,3.45,100.0,235,21.36,0,0,0,0
Kevin Pettit-Scantling,16,20,1.25,13,0.81,30,1.88,51,3.19,121,7.56,92.4,349,21.81,0,0,0,0
Ross Barker,9,25,2.78,16,1.78,0,0.0,28,3.11,175,19.44,95.6,162,18.0,0,0,0,0
Ryan Tucker,9,22,2.44,4,0.44,3,0.33,28,3.11,28,3.11,100.0,113,12.56,0,0,0,0
Brian Hart,12,14,1.17,20,1.67,7,0.58,32,2.67,213,17.75,96.8,241,20.08,0,0,0,0
Matt Weber,2,5,2.5,0,0.0,1,0.5,5,2.5,4,2.0,80.0,37,18.5,0,0,0,0
Avery Johnson,6,13,2.17,4,0.67,1,0.17,15,2.5,55,9.17,100.0,88,14.67,0,0,0,0
Kevin Brown,7,13,1.86,18,2.57,5,0.71,17,2.43,137,19.57,89.5,127,18.14,0,0,0,0
Tim DeByl,1,1,1.0,1,1.0,0,0.0,2,2.0,1,1.0,100.0,7,7.0,0,0,0,0
Ben Nelson,12,9,0.75,23,1.92,3,0.25,21,1.75,288,24.0,96.6,197,16.42,0,0,0,0
Logan Pruess,14,10,0.71,18,1.29,12,0.86,24,1.71,212,15.14,93.0,306,21.86,0,0,0,0
Tom Annen,7,7,1.0,12,1.71,2,0.29,10,1.43,206,29.43,95.4,122,17.43,0,0,0,0
Andrew Brown,11,4,0.36,20,1.82,2,0.18,15,1.36,408,37.09,97.8,193,17.55,0,0,0,0
Nate Thibedeau,6,4,0.67,9,1.5,2,0.33,8,1.33,54,9.0,90.0,79,13.17,0,0,0,0
Seth Meyer,6,2,0.33,2,0.33,5,0.83,8,1.33,10,1.67,100.0,69,11.5,0,0,0,0
Chris Wilen,7,6,0.86,4,0.57,3,0.43,9,1.29,19,2.71,90.5,83,11.86,0,0,0,0
Bill Everhart,8,4,0.5,9,1.13,4,0.5,10,1.25,142,17.75,96.6,175,21.88,0,0,0,0
Chase Marty,13,10,0.77,1,0.08,5,0.38,16,1.23,19,1.46,100.0,148,11.38,0,0,0,0
Adam Drews,7,8,1.14,8,1.14,4,0.57,8,1.14,107,15.29,91.5,105,15.0,0,0,0,0
Pat Shriwise,15,15,1.0,19,1.27,10,0.67,16,1.07,360,24.0,93.8,239,15.93,0,0,0,0
Dan Rowan,1,1,1.0,1,1.0,1,1.0,1,1.0,4,4.0,66.7,16,16.0,0,0,0,0
Mike Swain,2,1,0.5,2,1.0,2,1.0,2,1.0,8,4.0,100.0,16,8.0,0,0,0,0
Jeff Maskalunas,7,2,0.29,3,0.43,6,0.86,6,0.86,23,3.29,88.5,94,13.43,0,0,0,0
Marquis Mason,12,5,0.42,0,0.0,6,0.5,10,0.83,7,0.58,100.0,118,9.83,0,0,0,0
Dave Wiseman,14,18,1.29,21,1.5,3,0.21,10,0.71,175,12.5,87.1,242,17.29,0,0,0,0
Jadon Scullion,10,7,0.7,8,0.8,3,0.3,5,0.5,149,14.9,92.5,159,15.9,0,0,0,0
Joshua Wilson,9,3,0.33,1,0.11,7,0.78,4,0.44,41,4.56,91.1,99,11.0,0,0,0,0
David Meinecke,7,4,0.57,2,0.29,0,0.0,3,0.43,17,2.43,94.4,76,10.86,0,0,0,0
Benjy Keren,6,1,0.17,5,0.83,1,0.17,2,0.33,163,27.17,98.8,84,14.0,0,0,0,0
Victor Luo,7,1,0.14,4,0.57,3,0.43,1,0.14,26,3.71,78.8,66,9.43,0,0,0,0
Jacob Spiro,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,5,5.0,0,0,0,0
Jack Kelly,3,0,0.0,0,0.0,1,0.33,0,0.0,11,3.67,100.0,28,9.33,0,0,0,0
Dane Warner,1,0,0.0,0,0.0,0,0.0,-1,-1.0,0,0.0,0.0,5,5.0,0,0,0,0
