Player,G,GLS,GPG,AST,APG,BLK,BPG,+ / -,+/- PG,CMP,CPG,CMP %,PP,PPG,RY,RYG,TY,TYG
Mark Burton,13,50,3.85,66,5.08,3,0.23,94,7.23,154,11.85,87.0,311,23.92,0,0,0,0
Nick Stuart,3,9,3.0,8,2.67,6,2.0,15,5.0,39,13.0,86.7,81,27.0,0,0,0,0
Zane Rankin,5,15,3.0,11,2.2,6,1.2,23,4.6,46,9.2,85.2,138,27.6,0,0,0,0
Donnie Clark,15,46,3.07,22,1.47,15,1.0,66,4.4,71,4.73,87.7,346,23.07,0,0,0,0
Matthew Rehder,8,19,2.38,13,1.63,9,1.13,33,4.13,112,14.0,93.3,195,24.38,0,0,0,0
Sam Hart,8,18,2.25,7,0.88,11,1.38,33,4.13,64,8.0,97.0,139,17.38,0,0,0,0
Xtehn Titcomb,1,3,3.0,0,0.0,1,1.0,4,4.0,4,4.0,100.0,13,13.0,0,0,0,0
Tim Gehret,3,5,1.67,8,2.67,1,0.33,11,3.67,13,4.33,81.3,52,17.33,0,0,0,0
Adam Simon,10,19,1.9,20,2.0,8,0.8,31,3.1,157,15.7,91.3,249,24.9,0,0,0,0
Phil Murray,10,20,2.0,24,2.4,7,0.7,30,3.0,94,9.4,84.7,236,23.6,0,0,0,0
Robbie Farwell,5,13,2.6,3,0.6,1,0.2,15,3.0,18,3.6,90.0,106,21.2,0,0,0,0
Bryson Simon-Fox,8,10,1.25,6,0.75,8,1.0,21,2.63,14,1.75,82.4,134,16.75,0,0,0,0
Reid Koss,10,8,0.8,31,3.1,10,1.0,26,2.6,145,14.5,88.4,257,25.7,0,0,0,0
Joe Sefton,4,3,0.75,6,1.5,4,1.0,10,2.5,45,11.25,93.8,68,17.0,0,0,0,0
Jesse Bolton,4,0,0.0,5,1.25,7,1.75,10,2.5,12,3.0,85.7,58,14.5,0,0,0,0
Tommy Li,10,15,1.5,12,1.2,5,0.5,24,2.4,76,7.6,92.7,200,20.0,0,0,0,0
Alex Duffel,8,6,0.75,11,1.38,5,0.63,19,2.38,37,4.63,97.4,159,19.88,0,0,0,0
Matt Russell,7,9,1.29,5,0.71,9,1.29,16,2.29,32,4.57,86.5,174,24.86,0,0,0,0
Husayn Carnegie,6,9,1.5,0,0.0,4,0.67,13,2.17,2,0.33,100.0,61,10.17,0,0,0,0
Kieran Kelly,8,10,1.25,2,0.25,9,1.13,16,2.0,28,3.5,87.5,144,18.0,0,0,0,0
Ben Snell,8,11,1.38,4,0.5,8,1.0,16,2.0,76,9.5,92.7,181,22.63,0,0,0,0
Gabe Fruchter,6,6,1.0,3,0.5,7,1.17,11,1.83,6,1.0,66.7,108,18.0,0,0,0,0
Dongyang Chen,8,6,0.75,3,0.38,5,0.63,13,1.63,24,3.0,100.0,116,14.5,0,0,0,0
Chris Vandervoort,4,3,0.75,2,0.5,2,0.5,6,1.5,15,3.75,93.8,75,18.75,0,0,0,0
Sam Pickel,3,4,1.33,0,0.0,1,0.33,4,1.33,8,2.67,88.9,36,12.0,0,0,0,0
Spencer Wallis,6,8,1.33,9,1.5,1,0.17,8,1.33,49,8.17,83.1,128,21.33,0,0,0,0
Duncan Linn,9,7,0.78,7,0.78,10,1.11,11,1.22,57,6.33,83.8,162,18.0,0,0,0,0
Will Chen,15,7,0.47,14,0.93,9,0.6,18,1.2,174,11.6,94.1,293,19.53,0,0,0,0
Sam Harkness,9,7,0.78,10,1.11,3,0.33,10,1.11,55,6.11,87.3,186,20.67,0,0,0,0
Zack Smith,11,10,0.91,4,0.36,3,0.27,11,1.0,50,4.55,89.3,229,20.82,0,0,0,0
Ky Lewis,9,1,0.11,10,1.11,3,0.33,8,0.89,75,8.33,92.6,160,17.78,0,0,0,0
Michael Caldwell,12,11,0.92,20,1.67,0,0.0,8,0.67,88,7.33,83.8,265,22.08,0,0,0,0
Mario O'Brien,9,11,1.22,8,0.89,4,0.44,6,0.67,169,18.78,91.8,246,27.33,0,0,0,0
Will Herold,4,5,1.25,1,0.25,1,0.25,2,0.5,30,7.5,90.9,85,21.25,0,0,0,0
Danny Karlinsky,7,5,0.71,11,1.57,0,0.0,2,0.29,157,22.43,92.4,174,24.86,0,0,0,0
Simon Montague,9,6,0.67,22,2.44,2,0.22,1,0.11,228,25.33,89.4,203,22.56,0,0,0,0
Steven Benaloh,6,1,0.17,4,0.67,0,0.0,-1,-0.17,4,0.67,40.0,71,11.83,0,0,0,0
Aly Lenon,5,4,0.8,7,1.4,2,0.4,-1,-0.2,58,11.6,81.7,115,23.0,0,0,0,0
