Unnamed: 0,G,GLS,GPG,AST,APG,BLK,BPG,+ / -,+/- PG,CMP,CPG,CMP %,PP,PPG,RY,RYG,TY,TYG
David Brandolph,1,0,0.0,7,7.0,0,0.0,5,5.0,45,45.0,95.7,22,22.0,0,0,0,0
Brian Magerr,12,32,2.67,16,1.33,10,0.83,38,3.17,160,13.33,93.0,255,21.25,0,0,0,0
Matt Michelson,13,16,1.23,15,1.15,11,0.85,28,2.15,41,3.15,77.4,232,17.85,0,0,0,0
Johnny Sisto,12,24,2.0,6,0.5,5,0.42,24,2.0,40,3.33,83.3,242,20.17,0,0,0,0
Eric Nardelli,4,6,1.5,3,0.75,3,0.75,8,2.0,12,3.0,80.0,51,12.75,0,0,0,0
Stephen Rosso,4,5,1.25,3,0.75,4,1.0,8,2.0,27,6.75,90.0,80,20.0,0,0,0,0
Sean Mott,10,21,2.1,22,2.2,11,1.1,16,1.6,230,23.0,87.8,230,23.0,0,0,0,0
Colin Kochenash,2,2,1.0,1,0.5,0,0.0,3,1.5,6,3.0,100.0,16,8.0,0,0,0,0
Austin Bonelli,6,3,0.5,3,0.5,6,1.0,8,1.33,33,5.5,89.2,100,16.67,0,0,0,0
Jared Seyler,14,18,1.29,6,0.43,6,0.43,18,1.29,40,2.86,81.6,184,13.14,0,0,0,0
Adam Goldberg,4,1,0.25,3,0.75,4,1.0,5,1.25,9,2.25,75.0,54,13.5,0,0,0,0
Ryan Forster,12,18,1.5,19,1.58,4,0.33,15,1.25,261,21.75,92.2,272,22.67,0,0,0,0
Sam Esser,9,4,0.44,5,0.56,4,0.44,11,1.22,26,2.89,92.9,131,14.56,0,0,0,0
Brian Williams,10,14,1.4,8,0.8,3,0.3,12,1.2,74,7.4,89.2,139,13.9,0,0,0,0
Sam Peezick,11,15,1.36,4,0.36,3,0.27,13,1.18,29,2.64,82.9,150,13.64,0,0,0,0
Charles Weinberg,4,2,0.5,2,0.5,3,0.75,4,1.0,44,11.0,93.6,67,16.75,0,0,0,0
Jonathan Holloway,4,1,0.25,6,1.5,1,0.25,4,1.0,15,3.75,78.9,44,11.0,0,0,0,0
Aaron Roberts,7,2,0.29,3,0.43,6,0.86,7,1.0,17,2.43,85.0,85,12.14,0,0,0,0
Elliott Lamborn,10,6,0.6,0,0.0,10,1.0,10,1.0,39,3.9,90.7,152,15.2,0,0,0,0
Sam Morgan,9,4,0.44,3,0.33,6,0.67,9,1.0,31,3.44,91.2,88,9.78,0,0,0,0
Jonathan Palumbo,3,2,0.67,0,0.0,1,0.33,2,0.67,1,0.33,100.0,31,10.33,0,0,0,0
Anthony Bushek,13,7,0.54,14,1.08,7,0.54,7,0.54,124,9.54,87.9,203,15.62,0,0,0,0
Alex Lowy,2,0,0.0,1,0.5,1,0.5,1,0.5,4,2.0,80.0,14,7.0,0,0,0,0
Tom Allen,8,6,0.75,10,1.25,5,0.63,3,0.38,175,21.88,91.1,168,21.0,0,0,0,0
Casey Startzell,7,7,1.0,2,0.29,3,0.43,2,0.29,178,25.43,95.7,143,20.43,0,0,0,0
Eric Lu,4,1,0.25,1,0.25,1,0.25,1,0.25,19,4.75,90.5,50,12.5,0,0,0,0
Zachary Eskin,9,2,0.22,0,0.0,2,0.22,2,0.22,2,0.22,100.0,87,9.67,0,0,0,0
Kyle Wolf,12,7,0.58,20,1.67,3,0.25,2,0.17,154,12.83,86.0,236,19.67,0,0,0,0
Stephen Ng,12,8,0.67,10,0.83,7,0.58,2,0.17,246,20.5,92.8,236,19.67,0,0,0,0
Rob Allan,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,2,2.0,0,0,0,0
Grant Franke,1,0,0.0,0,0.0,0,0.0,0,0.0,3,3.0,100.0,12,12.0,0,0,0,0
Jimmy O'Connell,5,0,0.0,1,0.2,0,0.0,0,0.0,14,2.8,93.3,42,8.4,0,0,0,0
Ethan Peck,10,8,0.8,38,3.8,7,0.7,-1,-0.1,251,25.1,83.7,265,26.5,0,0,0,0
David Hampson,12,10,0.83,11,0.92,5,0.42,-3,-0.25,392,32.67,93.6,261,21.75,0,0,0,0
Ethan Fortin,10,1,0.1,2,0.2,2,0.2,-4,-0.4,106,10.6,92.2,155,15.5,0,0,0,0
Nick Patel,7,3,0.43,8,1.14,5,0.71,-4,-0.57,119,17.0,87.5,155,22.14,0,0,0,0
Charles Harrity,6,0,0.0,2,0.33,1,0.17,-5,-0.83,29,4.83,87.9,86,14.33,0,0,0,0
