Unnamed: 0,G,GLS,GPG,AST,APG,BLK,BPG,+ / -,+/- PG,CMP,CPG,CMP %,PP,PPG,RY,RYG,TY,TYG
Cam Bailey,12,32,2.67,9,0.75,25,2.08,54,4.5,130,10.83,91.5,274,22.83,0,0,0,0
Evan Klein,11,28,2.55,32,2.91,25,2.27,47,4.27,160,14.55,82.5,280,25.45,0,0,0,0
Grant Zukowski,12,15,1.25,17,1.42,16,1.33,29,2.42,133,11.08,89.9,236,19.67,0,0,0,0
John Quandt,13,29,2.23,16,1.23,10,0.77,31,2.38,136,10.46,88.9,237,18.23,0,0,0,0
Ryan Sturm,10,12,1.2,9,0.9,13,1.3,17,1.7,39,3.9,79.6,185,18.5,0,0,0,0
Michael Cavanaugh,9,13,1.44,11,1.22,3,0.33,14,1.56,66,7.33,83.5,123,13.67,0,0,0,0
Luke Jespersen,12,11,0.92,3,0.25,10,0.83,18,1.5,46,3.83,92.0,217,18.08,0,0,0,0
Nick Dare,13,6,0.46,22,1.69,6,0.46,17,1.31,469,36.08,96.5,238,18.31,0,0,0,0
Peter Bender,13,26,2.0,21,1.62,4,0.31,16,1.23,229,17.62,89.1,258,19.85,0,0,0,0
Will W,9,10,1.11,12,1.33,5,0.56,11,1.22,161,17.89,91.5,128,14.22,0,0,0,0
Brad Houser,10,8,0.8,7,0.7,5,0.5,11,1.1,38,3.8,90.5,166,16.6,0,0,0,0
Daniel Greeley,9,2,0.22,4,0.44,5,0.56,9,1.0,23,2.56,100.0,92,10.22,0,0,0,0
Gavin Sing,10,11,1.1,1,0.1,4,0.4,10,1.0,20,2.0,83.3,89,8.9,0,0,0,0
Isaac Davis,1,2,2.0,0,0.0,0,0.0,1,1.0,3,3.0,100.0,9,9.0,0,0,0,0
Adam Bronstein,13,9,0.69,12,0.92,10,0.77,12,0.92,314,24.15,94.3,254,19.54,0,0,0,0
Dana Dunbar,13,15,1.15,11,0.85,2,0.15,11,0.85,125,9.62,91.2,205,15.77,0,0,0,0
Peter Osseward,13,20,1.54,6,0.46,4,0.31,10,0.77,96,7.38,86.5,154,11.85,0,0,0,0
Andrew Lynch,10,9,0.9,15,1.5,7,0.7,6,0.6,408,40.8,94.7,227,22.7,0,0,0,0
Matthew Neeley,12,7,0.58,14,1.17,24,2.0,6,0.5,193,16.08,84.6,282,23.5,0,0,0,0
Chuck Hippman,4,1,0.25,0,0.0,2,0.5,2,0.5,4,1.0,80.0,19,4.75,0,0,0,0
John Klaassen,9,2,0.22,6,0.67,2,0.22,0,0.0,62,6.89,89.9,102,11.33,0,0,0,0
Sasha S,3,0,0.0,0,0.0,0,0.0,0,0.0,2,0.67,100.0,11,3.67,0,0,0,0
Greg Garbern,7,2,0.29,1,0.14,1,0.14,0,0.0,11,1.57,84.6,46,6.57,0,0,0,0
Matthew King,14,2,0.14,21,1.5,16,1.14,-8,-0.57,322,23.0,87.7,301,21.5,0,0,0,0
Adlai Felser,12,2,0.17,14,1.17,6,0.5,-7,-0.58,235,19.58,90.0,261,21.75,0,0,0,0
Ky Lewis,12,3,0.25,13,1.08,3,0.25,-12,-1.0,220,18.33,89.4,157,13.08,0,0,0,0
James O,1,0,0.0,0,0.0,1,1.0,-2,-2.0,1,1.0,25.0,6,6.0,0,0,0,0
