Player,G,GLS,GPG,AST,APG,BLK,BPG,+ / -,+/- PG,CMP,CPG,CMP %,PP,PPG,RY,RYG,TY,TYG
Kielan Way,13,31,2.38,43,3.31,5,0.38,43,3.31,315,24.23,90.5,299,23.0,0,0,0,0
Jeremy Hill,10,27,2.7,7,0.7,10,1.0,31,3.1,65,6.5,90.3,201,20.1,0,0,0,0
Scott Westwell,11,20,1.82,22,2.0,7,0.64,33,3.0,266,24.18,95.0,241,21.91,0,0,0,0
Karl Loiseau,12,30,2.5,20,1.67,14,1.17,34,2.83,255,21.25,91.1,268,22.33,0,0,0,0
Mike Lee,12,17,1.42,17,1.42,10,0.83,32,2.67,73,6.08,86.9,194,16.17,0,0,0,0
Lance Blackstock,11,16,1.45,11,1.0,9,0.82,29,2.64,45,4.09,90.0,209,19.0,0,0,0,0
Matthew Berg,8,19,2.38,3,0.38,4,0.5,21,2.63,30,3.75,100.0,143,17.88,0,0,0,0
Ken Alexander,13,24,1.85,25,1.92,3,0.23,31,2.38,141,10.85,89.8,252,19.38,0,0,0,0
Leon Forest-Nault,13,23,1.77,10,0.77,9,0.69,29,2.23,191,14.69,95.0,272,20.92,0,0,0,0
Andrew Ouchterlony,9,14,1.56,12,1.33,8,0.89,19,2.11,150,16.67,91.5,196,21.78,0,0,0,0
Paul Renaud,6,4,0.67,3,0.5,8,1.33,11,1.83,17,2.83,89.5,107,17.83,0,0,0,0
Rob Schmidt,9,10,1.11,5,0.56,9,1.0,16,1.78,24,2.67,80.0,138,15.33,0,0,0,0
Alec Arsenault,3,2,0.67,0,0.0,3,1.0,5,1.67,6,2.0,100.0,28,9.33,0,0,0,0
Matthew Hogel,13,18,1.38,12,0.92,8,0.62,20,1.54,322,24.77,95.5,224,17.23,0,0,0,0
Nick Boucher,8,3,0.38,10,1.25,9,1.13,12,1.5,47,5.88,83.9,163,20.38,0,0,0,0
Andy Corey,11,14,1.27,19,1.73,6,0.55,15,1.36,122,11.09,85.9,238,21.64,0,0,0,0
Derek Alexander,11,12,1.09,44,4.0,2,0.18,13,1.18,602,54.73,94.2,286,26.0,0,0,0,0
David Janssen,9,11,1.22,9,1.0,3,0.33,10,1.11,255,28.33,95.9,173,19.22,0,0,0,0
Luke Phelan,11,4,0.36,7,0.64,4,0.36,11,1.0,42,3.82,91.3,137,12.45,0,0,0,0
Jordan McGregor,7,8,1.14,2,0.29,5,0.71,7,1.0,30,4.29,85.7,111,15.86,0,0,0,0
Colin Green,11,0,0.0,15,1.36,7,0.64,10,0.91,118,10.73,91.5,171,15.55,0,0,0,0
Colin Froats,13,5,0.38,9,0.69,5,0.38,11,0.85,93,7.15,94.9,191,14.69,0,0,0,0
Pete Proulx,9,3,0.33,0,0.0,3,0.33,5,0.56,8,0.89,100.0,105,11.67,0,0,0,0
Matt Goodkey,12,2,0.17,6,0.5,6,0.5,5,0.42,45,3.75,83.3,192,16.0,0,0,0,0
John Haig,8,7,0.88,6,0.75,0,0.0,3,0.38,43,5.38,87.8,131,16.38,0,0,0,0
Laurent Loiseau,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,2,2.0,0,0,0,0
Kinley Gee,7,1,0.14,1,0.14,1,0.14,0,0.0,51,7.29,96.2,107,15.29,0,0,0,0
Bryce Ring,13,0,0.0,4,0.31,4,0.31,-1,-0.08,151,11.62,95.0,203,15.62,0,0,0,0
Dan Turcotte,5,1,0.2,3,0.6,0,0.0,-2,-0.4,34,6.8,87.2,59,11.8,0,0,0,0
