Player,G,GLS,GPG,AST,APG,BLK,BPG,+ / -,+/- PG,CMP,CPG,CMP %,PP,PPG,RY,RYG,TY,TYG
Justin Foord,3,6,2.0,4,1.33,7,2.33,14,4.67,32,10.67,91.4,61,20.33,0,0,0,0
Benjamin Burelle,10,24,2.4,24,2.4,6,0.6,37,3.7,101,10.1,87.1,192,19.2,0,0,0,0
Andrew Carroll,13,25,1.92,38,2.92,7,0.54,45,3.46,227,17.46,91.9,261,20.08,0,0,0,0
Jay Boychuk,7,23,3.29,6,0.86,2,0.29,23,3.29,84,12.0,94.4,134,19.14,0,0,0,0
Hugh Knapp,7,13,1.86,18,2.57,2,0.29,23,3.29,158,22.57,94.6,136,19.43,0,0,0,0
Mark Lloyd,4,4,1.0,6,1.5,9,2.25,13,3.25,48,12.0,88.9,81,20.25,0,0,0,0
Nathan Hirst,7,19,2.71,12,1.71,4,0.57,21,3.0,86,12.29,89.6,132,18.86,0,0,0,0
Benjamin Oort,10,31,3.1,4,0.4,5,0.5,30,3.0,55,5.5,88.7,162,16.2,0,0,0,0
Remi Ojo,2,2,1.0,0,0.0,4,2.0,6,3.0,8,4.0,100.0,26,13.0,0,0,0,0
Jason Huynh,12,16,1.33,18,1.5,10,0.83,34,2.83,186,15.5,94.9,220,18.33,0,0,0,0
Cameron Harris,12,17,1.42,29,2.42,16,1.33,34,2.83,214,17.83,88.8,263,21.92,0,0,0,0
Mike Mackenzie,5,5,1.0,6,1.2,7,1.4,14,2.8,36,7.2,90.0,82,16.4,0,0,0,0
Bretton Tan,10,12,1.2,7,0.7,12,1.2,28,2.8,57,5.7,95.0,166,16.6,0,0,0,0
Marijo Zlatic,11,16,1.45,6,0.55,11,1.0,28,2.55,52,4.73,96.3,181,16.45,0,0,0,0
Connor Armstrong,12,18,1.5,19,1.58,6,0.5,29,2.42,373,31.08,96.4,238,19.83,0,0,0,0
Iain Mackenzie,15,21,1.4,8,0.53,18,1.2,35,2.33,93,6.2,91.2,276,18.4,0,0,0,0
Jonathan Edwards,13,26,2.0,4,0.31,14,1.08,30,2.31,60,4.62,83.3,213,16.38,0,0,0,0
Isaiah Masek-Kelly,13,14,1.08,26,2.0,18,1.38,26,2.0,213,16.38,90.3,301,23.15,0,0,0,0
Geoff Powell,6,6,1.0,10,1.67,9,1.5,12,2.0,60,10.0,83.3,107,17.83,0,0,0,0
Thomson McKnight,13,16,1.23,23,1.77,5,0.38,25,1.92,410,31.54,96.5,265,20.38,0,0,0,0
Jacky Hau,13,12,0.92,8,0.62,9,0.69,21,1.62,73,5.62,92.4,214,16.46,0,0,0,0
Phil Turner,4,2,0.5,0,0.0,4,1.0,6,1.5,7,1.75,100.0,43,10.75,0,0,0,0
Jonathan Martin,7,1,0.14,8,1.14,6,0.86,10,1.43,32,4.57,88.9,116,16.57,0,0,0,0
Ben Pries,6,4,0.67,3,0.5,3,0.5,8,1.33,12,2.0,92.3,83,13.83,0,0,0,0
Jeremy Norden,10,5,0.5,18,1.8,5,0.5,13,1.3,173,17.3,92.0,148,14.8,0,0,0,0
Drew Wilson,8,6,0.75,9,1.13,3,0.38,9,1.13,45,5.63,88.2,124,15.5,0,0,0,0
Gord Harrison,7,1,0.14,6,0.86,7,1.0,7,1.0,47,6.71,88.7,98,14.0,0,0,0,0
Nicholas Dacquisto,11,7,0.64,3,0.27,4,0.36,11,1.0,37,3.36,94.9,167,15.18,0,0,0,0
Jeff Lindquist,13,5,0.38,16,1.23,7,0.54,12,0.92,145,11.15,91.2,203,15.62,0,0,0,0
Dan LaFrance,9,3,0.33,1,0.11,5,0.56,7,0.78,11,1.22,91.7,108,12.0,0,0,0,0
Adrian Yearwood,10,4,0.4,17,1.7,1,0.1,7,0.7,169,16.9,92.9,176,17.6,0,0,0,0
Jaret Meron,11,1,0.09,5,0.45,8,0.73,2,0.18,92,8.36,88.5,170,15.45,0,0,0,0
Anatoly Vasilyev,5,1,0.2,3,0.6,2,0.4,0,0.0,41,8.2,89.1,88,17.6,0,0,0,0
