Player,G,GLS,GPG,AST,APG,BLK,BPG,+ / -,+/- PG,CMP,CPG,CMP %,PP,PPG,RY,RYG,TY,TYG
Matthew Rehder,8,27,3.38,17,2.13,17,2.13,44,5.5,131,16.38,89.7,222,27.75,0,0,0,0
Pawel Janas,13,11,0.85,77,5.92,8,0.62,68,5.23,714,54.92,96.6,335,25.77,0,0,0,0
Nate Goff,5,13,2.6,13,2.6,5,1.0,22,4.4,72,14.4,92.3,113,22.6,0,0,0,0
Drew Swanson,13,25,1.92,2,0.15,24,1.85,46,3.54,32,2.46,91.4,255,19.62,0,0,0,0
Jack Shanahan,12,27,2.25,22,1.83,4,0.33,36,3.0,186,15.5,93.5,269,22.42,0,0,0,0
Michael Pardo,8,29,3.63,4,0.5,1,0.13,24,3.0,104,13.0,92.0,161,20.13,0,0,0,0
Ross Barker,12,9,0.75,22,1.83,11,0.92,28,2.33,184,15.33,93.9,277,23.08,0,0,0,0
Jeff Weis,8,14,1.75,7,0.88,4,0.5,17,2.13,128,16.0,94.8,182,22.75,0,0,0,0
Jeremy Burril,11,17,1.55,11,1.0,3,0.27,22,2.0,104,9.45,93.7,172,15.64,0,0,0,0
Seth Weaver,12,5,0.42,18,1.5,12,1.0,23,1.92,194,16.17,95.1,263,21.92,0,0,0,0
Jason Vallee,7,3,0.43,6,0.86,5,0.71,13,1.86,43,6.14,97.7,97,13.86,0,0,0,0
Tommy Gallagher,12,19,1.58,19,1.58,1,0.08,21,1.75,443,36.92,96.9,265,22.08,0,0,0,0
Tim Fergus,9,8,0.89,12,1.33,3,0.33,14,1.56,251,27.89,97.7,162,18.0,0,0,0,0
Danny Miller,10,13,1.3,4,0.4,1,0.1,12,1.2,69,6.9,94.5,111,11.1,0,0,0,0
Cal Tornabene,7,4,0.57,3,0.43,3,0.43,8,1.14,28,4.0,93.3,88,12.57,0,0,0,0
Nick Zeman,7,5,0.71,3,0.43,1,0.14,8,1.14,11,1.57,100.0,97,13.86,0,0,0,0
Brad Bolliger,7,7,1.0,3,0.43,3,0.43,7,1.0,52,7.43,94.5,86,12.29,0,0,0,0
Von Alanguilan,1,1,1.0,0,0.0,0,0.0,1,1.0,1,1.0,100.0,12,12.0,0,0,0,0
Jesse White,1,1,1.0,0,0.0,0,0.0,1,1.0,6,6.0,100.0,13,13.0,0,0,0,0
Charlie Furse,12,10,0.83,4,0.33,3,0.25,11,0.92,44,3.67,89.8,138,11.5,0,0,0,0
Alex Rummelhart,9,3,0.33,1,0.11,3,0.33,7,0.78,23,2.56,100.0,113,12.56,0,0,0,0
CJ O'Brien,3,2,0.67,0,0.0,0,0.0,2,0.67,1,0.33,100.0,12,4.0,0,0,0,0
Karl Kingma,9,3,0.33,2,0.22,2,0.22,5,0.56,8,0.89,80.0,72,8.0,0,0,0,0
James Sykora,11,1,0.09,3,0.27,8,0.73,4,0.36,58,5.27,87.9,136,12.36,0,0,0,0
Michael Egan,6,2,0.33,0,0.0,2,0.33,2,0.33,2,0.33,50.0,42,7.0,0,0,0,0
Jeff Holm,3,0,0.0,2,0.67,0,0.0,1,0.33,13,4.33,92.9,49,16.33,0,0,0,0
Joey Kennedy,9,3,0.33,4,0.44,1,0.11,2,0.22,44,4.89,89.8,108,12.0,0,0,0,0
Jesse Johnson,9,2,0.22,0,0.0,3,0.33,1,0.11,21,2.33,84.0,64,7.11,0,0,0,0
David Woods,5,0,0.0,1,0.2,0,0.0,0,0.0,12,2.4,92.3,36,7.2,0,0,0,0
Zane Rankin,5,4,0.8,6,1.2,2,0.4,0,0.0,67,13.4,85.9,96,19.2,0,0,0,0
Zubair Abdulla,4,0,0.0,0,0.0,0,0.0,0,0.0,2,0.5,100.0,19,4.75,0,0,0,0
David Meinecke,6,2,0.33,4,0.67,2,0.33,0,0.0,38,6.33,84.4,94,15.67,0,0,0,0
Judah Newman,2,1,0.5,0,0.0,0,0.0,0,0.0,22,11.0,95.7,24,12.0,0,0,0,0
Brenton Hard,4,0,0.0,0,0.0,0,0.0,-2,-0.5,13,3.25,92.9,26,6.5,0,0,0,0
Kurt Gibson,1,0,0.0,0,0.0,0,0.0,-2,-2.0,7,7.0,87.5,17,17.0,0,0,0,0
