Player,G,GLS,GPG,AST,APG,BLK,BPG,+ / -,+/- PG,CMP,CPG,CMP %,PP,PPG,RY,RYG,TY,TYG
James Hron,16,49,3.06,20,1.25,16,1.0,77,4.81,92,5.75,94.8,226,14.13,0,0,0,0
Kevin Seiler,16,22,1.38,47,2.94,12,0.75,59,3.69,269,16.81,95.4,276,17.25,0,0,0,0
Brian Schoenrock,16,30,1.88,6,0.38,29,1.81,58,3.63,53,3.31,96.4,188,11.75,0,0,0,0
Pat Niles,16,25,1.56,34,2.13,10,0.63,56,3.5,147,9.19,93.0,223,13.94,0,0,0,0
Jon Staron,16,22,1.38,18,1.13,15,0.94,33,2.06,399,24.94,95.5,275,17.19,0,0,0,0
Josh Hemmesch,16,22,1.38,23,1.44,8,0.5,32,2.0,138,8.63,90.2,197,12.31,0,0,0,0
Jay Drescher,16,16,1.0,13,0.81,16,1.0,29,1.81,53,3.31,80.3,160,10.0,0,0,0,0
Joe Brisbois,16,13,0.81,11,0.69,8,0.5,26,1.63,34,2.13,91.9,165,10.31,0,0,0,0
Pat Jensen,13,10,0.77,6,0.46,9,0.69,21,1.62,38,2.92,97.4,100,7.69,0,0,0,0
David Wenzel,16,7,0.44,6,0.38,16,1.0,20,1.25,58,3.63,96.7,134,8.38,0,0,0,0
John Groess,16,4,0.25,9,0.56,13,0.81,18,1.13,157,9.81,95.7,218,13.63,0,0,0,0
Austin Lien,16,3,0.19,14,0.88,6,0.38,17,1.06,259,16.19,98.1,171,10.69,0,0,0,0
Taylor Van Oosbree,2,1,0.5,0,0.0,1,0.5,2,1.0,1,0.5,100.0,14,7.0,0,0,0,0
Nicholas Simonelli,16,12,0.75,10,0.63,5,0.31,16,1.0,120,7.5,96.0,191,11.94,0,0,0,0
Grant Lindsley,16,7,0.44,3,0.19,6,0.38,14,0.88,34,2.13,97.1,74,4.63,0,0,0,0
Michael Petersen,16,8,0.5,15,0.94,17,1.06,13,0.81,124,7.75,86.7,226,14.13,0,0,0,0
Eric Olson,16,6,0.38,8,0.5,12,0.75,13,0.81,280,17.5,96.9,206,12.88,0,0,0,0
John Bergen,16,5,0.31,7,0.44,11,0.69,12,0.75,121,7.56,93.1,192,12.0,0,0,0,0
Jeff Trosvig,16,4,0.25,17,1.06,7,0.44,10,0.63,268,16.75,94.7,210,13.13,0,0,0,0
Robert Johnson,16,8,0.5,9,0.56,6,0.38,9,0.56,185,11.56,93.9,161,10.06,0,0,0,0
Neal Hanke,16,3,0.19,3,0.19,7,0.44,9,0.56,54,3.38,93.1,106,6.63,0,0,0,0
Ashton Robinson,16,4,0.25,0,0.0,4,0.25,5,0.31,6,0.38,85.7,62,3.88,0,0,0,0
Ben Feldman,16,10,0.63,14,0.88,23,1.44,5,0.31,125,7.81,78.6,202,12.63,0,0,0,0
Brandon Matis,16,7,0.44,0,0.0,4,0.25,4,0.25,20,1.25,87.0,69,4.31,0,0,0,0
Tyler McKean,16,2,0.13,1,0.06,6,0.38,4,0.25,15,0.94,83.3,36,2.25,0,0,0,0
Timmy Setterberg,16,7,0.44,3,0.19,1,0.06,2,0.13,40,2.5,93.0,101,6.31,0,0,0,0
Josh Klane,16,5,0.31,9,0.56,4,0.25,2,0.13,121,7.56,88.3,114,7.13,0,0,0,0
Joe Simonelli,16,2,0.13,1,0.06,3,0.19,2,0.13,69,4.31,95.8,94,5.88,0,0,0,0
Jake McKean,16,1,0.06,4,0.25,5,0.31,0,0.0,82,5.13,91.1,117,7.31,0,0,0,0
Scott Boehm,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0
Danny Hunt,16,0,0.0,0,0.0,0,0.0,-3,-0.19,10,0.63,76.9,56,3.5,0,0,0,0
