Unnamed: 0,G,GLS,GPG,AST,APG,BLK,BPG,+ / -,+/- PG,CMP,CPG,CMP %,PP,PPG,RY,RYG,TY,TYG
Ken Wells,13,44,3.38,14,1.08,4,0.31,40,3.08,108,8.31,87.1,261,20.08,0,0,0,0
Schuyler Redding,12,14,1.17,17,1.42,13,1.08,27,2.25,92,7.67,85.2,190,15.83,0,0,0,0
Sean Mott,9,12,1.33,14,1.56,11,1.22,20,2.22,285,31.67,96.0,179,19.89,0,0,0,0
Brian Magerr,13,20,1.54,19,1.46,7,0.54,26,2.0,191,14.69,91.8,247,19.0,0,0,0,0
Jonathan Palumbo,4,2,0.5,2,0.5,4,1.0,7,1.75,14,3.5,93.3,35,8.75,0,0,0,0
Brett Sawyer,11,9,0.82,0,0.0,12,1.09,15,1.36,19,1.73,82.6,171,15.55,0,0,0,0
Stephen Rosso,11,6,0.55,6,0.55,12,1.09,13,1.18,85,7.73,90.4,175,15.91,0,0,0,0
Casey Startzell,13,21,1.62,11,0.85,5,0.38,15,1.15,533,41.0,96.2,305,23.46,0,0,0,0
Mike Reeves,7,7,1.0,2,0.29,5,0.71,8,1.14,35,5.0,87.5,93,13.29,0,0,0,0
Jordan Wiley,14,21,1.5,18,1.29,2,0.14,15,1.07,211,15.07,90.9,312,22.29,0,0,0,0
Sam Morgan,8,3,0.38,3,0.38,3,0.38,8,1.0,22,2.75,95.7,87,10.88,0,0,0,0
Ethan Peck,7,5,0.71,11,1.57,2,0.29,6,0.86,85,12.14,88.5,127,18.14,0,0,0,0
Brian T,6,3,0.5,6,1.0,2,0.33,5,0.83,116,19.33,95.1,109,18.17,0,0,0,0
Stephen Ng,14,4,0.29,12,0.86,11,0.79,8,0.57,238,17.0,93.7,248,17.71,0,0,0,0
Sam Esser,13,6,0.46,1,0.08,10,0.77,7,0.54,67,5.15,91.8,184,14.15,0,0,0,0
Tom Allen,6,7,1.17,17,2.83,3,0.5,3,0.5,318,53.0,93.3,139,23.17,0,0,0,0
Ben Broser,6,4,0.67,0,0.0,2,0.33,3,0.5,83,13.83,96.5,90,15.0,0,0,0,0
Dustin Sullivan,4,3,0.75,0,0.0,0,0.0,2,0.5,7,1.75,87.5,31,7.75,0,0,0,0
Anthony Bushek,12,6,0.5,9,0.75,4,0.33,5,0.42,65,5.42,83.3,159,13.25,0,0,0,0
Colin Smith,5,3,0.6,2,0.4,0,0.0,2,0.4,19,3.8,90.5,48,9.6,0,0,0,0
Dave Kelly,13,14,1.08,14,1.08,8,0.62,4,0.31,342,26.31,92.9,266,20.46,0,0,0,0
David Hampson,4,1,0.25,7,1.75,4,1.0,1,0.25,109,27.25,91.6,63,15.75,0,0,0,0
Frank Harris,5,1,0.2,2,0.4,3,0.6,1,0.2,27,5.4,84.4,49,9.8,0,0,0,0
William Hoehne,11,3,0.27,6,0.55,6,0.55,2,0.18,50,4.55,80.6,192,17.45,0,0,0,0
Danny Bjorkman,9,4,0.44,7,0.78,3,0.33,1,0.11,84,9.33,87.5,127,14.11,0,0,0,0
Ryan Forster,10,4,0.4,4,0.4,1,0.1,-1,-0.1,96,9.6,90.6,102,10.2,0,0,0,0
Kyle Wolf,10,10,1.0,28,2.8,9,0.9,-2,-0.2,359,35.9,89.1,220,22.0,0,0,0,0
Chris Schulze,13,3,0.23,1,0.08,0,0.0,-6,-0.46,41,3.15,80.4,155,11.92,0,0,0,0
Jeff Kiel,13,5,0.38,10,0.77,6,0.46,-11,-0.85,367,28.23,92.9,280,21.54,0,0,0,0
