Player,G,GLS,GPG,AST,APG,BLK,BPG,+ / -,+/- PG,CMP,CPG,CMP %,PP,PPG,RY,RYG,TY,TYG
Kurt Gibson,8,32,4.0,31,3.88,2,0.25,51,6.38,306,38.25,95.9,203,25.38,0,0,0,0
Pawel Janas,14,11,0.79,97,6.93,5,0.36,77,5.5,818,58.43,96.6,392,28.0,0,0,0,0
Nate Goff,8,17,2.13,16,2.0,18,2.25,38,4.75,108,13.5,90.0,183,22.88,0,0,0,0
Michael Pardo,12,38,3.17,22,1.83,19,1.58,50,4.17,212,17.67,92.2,312,26.0,0,0,0,0
Ross Barker,13,45,3.46,35,2.69,8,0.62,51,3.92,300,23.08,91.2,337,25.92,0,0,0,0
Nicky Golini,1,3,3.0,0,0.0,1,1.0,3,3.0,31,31.0,100.0,18,18.0,0,0,0,0
Danny Miller,13,38,2.92,18,1.38,3,0.23,38,2.92,161,12.38,89.9,281,21.62,0,0,0,0
Jeff Weis,10,21,2.1,8,0.8,11,1.1,23,2.3,137,13.7,91.3,266,26.6,0,0,0,0
Tommy Gallagher,7,10,1.43,5,0.71,4,0.57,15,2.14,292,41.71,98.6,169,24.14,0,0,0,0
Jason Vallee,4,2,0.5,5,1.25,4,1.0,8,2.0,29,7.25,100.0,68,17.0,0,0,0,0
Andrew Goldstein,8,8,1.0,7,0.88,4,0.5,14,1.75,62,7.75,92.5,135,16.88,0,0,0,0
Karl Kingma,8,4,0.5,3,0.38,9,1.13,13,1.63,17,2.13,94.4,111,13.88,0,0,0,0
Nick Myhre,2,2,1.0,1,0.5,0,0.0,3,1.5,39,19.5,100.0,40,20.0,0,0,0,0
Jack Shey,11,13,1.18,2,0.18,5,0.45,16,1.45,54,4.91,96.4,178,16.18,0,0,0,0
James Sykora,7,3,0.43,6,0.86,5,0.71,9,1.29,43,6.14,89.6,124,17.71,0,0,0,0
Max Trotter,14,10,0.71,14,1.0,6,0.43,16,1.14,304,21.71,96.5,300,21.43,0,0,0,0
Bill Kluender,9,4,0.44,4,0.44,5,0.56,10,1.11,43,4.78,93.5,112,12.44,0,0,0,0
Rodrigo Arcibar,1,1,1.0,0,0.0,0,0.0,1,1.0,1,1.0,100.0,9,9.0,0,0,0,0
Michael Egan,11,3,0.27,4,0.36,7,0.64,9,0.82,32,2.91,86.5,134,12.18,0,0,0,0
Simon Johansen,10,9,0.9,14,1.4,1,0.1,7,0.7,120,12.0,89.6,202,20.2,0,0,0,0
Neal Phelps,6,1,0.17,4,0.67,2,0.33,4,0.67,59,9.83,95.2,91,15.17,0,0,0,0
Alex Rummelhart,11,9,0.82,2,0.18,3,0.27,7,0.64,67,6.09,97.1,168,15.27,0,0,0,0
CJ O'Brien,8,4,0.5,3,0.38,3,0.38,5,0.63,22,2.75,81.5,83,10.38,0,0,0,0
Drew Levorsen,10,4,0.4,2,0.2,2,0.2,6,0.6,42,4.2,95.5,93,9.3,0,0,0,0
Nick Zeman,13,10,0.77,2,0.15,4,0.31,7,0.54,44,3.38,84.6,202,15.54,0,0,0,0
Dan Vockeroth,2,1,0.5,0,0.0,0,0.0,1,0.5,2,1.0,100.0,28,14.0,0,0,0,0
Jeff Zhao,2,2,1.0,2,1.0,0,0.0,1,0.5,62,31.0,95.4,39,19.5,0,0,0,0
Matt LeMaitre,9,3,0.33,2,0.22,4,0.44,3,0.33,23,2.56,82.1,102,11.33,0,0,0,0
Ben Macalalad,3,1,0.33,0,0.0,0,0.0,1,0.33,1,0.33,100.0,33,11.0,0,0,0,0
Grant Zukowski,9,2,0.22,2,0.22,2,0.22,2,0.22,72,8.0,97.3,134,14.89,0,0,0,0
David Woods,14,1,0.07,3,0.21,1,0.07,1,0.07,108,7.71,97.3,171,12.21,0,0,0,0
Jeremy Burril,11,5,0.45,2,0.18,3,0.27,-1,-0.09,55,5.0,84.6,141,12.82,0,0,0,0
Judah Newman,9,2,0.22,2,0.22,3,0.33,-4,-0.44,110,12.22,92.4,153,17.0,0,0,0,0
