Unnamed: 0,G,GLS,GPG,AST,APG,BLK,BPG,+ / -,+/- PG,CMP,CPG,CMP %,PP,PPG,RY,RYG,TY,TYG
Jonathan Martin,10,46,4.6,19,1.9,18,1.8,73,7.3,78,7.8,92.9,212,21.2,0,0,0,0
Mark Lloyd,16,54,3.38,50,3.13,23,1.44,98,6.13,332,20.75,92.5,373,23.31,0,0,0,0
Cameron Harris,16,46,2.88,56,3.5,25,1.56,86,5.38,329,20.56,90.6,358,22.38,0,0,0,0
Steve Armitage,13,42,3.23,9,0.69,9,0.69,51,3.92,71,5.46,94.7,226,17.38,0,0,0,0
Anatoly Vasilyev,10,11,1.1,30,3.0,14,1.4,37,3.7,241,24.1,93.1,228,22.8,0,0,0,0
Isaiah Masek-Kelly,13,24,1.85,36,2.77,18,1.38,48,3.69,227,17.46,90.8,284,21.85,0,0,0,0
Geoff Powell,9,12,1.33,6,0.67,17,1.89,29,3.22,88,9.78,93.6,167,18.56,0,0,0,0
Thomson McKnight,16,15,0.94,42,2.63,11,0.69,48,3.0,563,35.19,96.6,327,20.44,0,0,0,0
Jeff Lindquist,14,16,1.14,47,3.36,9,0.64,41,2.93,256,18.29,89.8,320,22.86,0,0,0,0
Karl Loiseau,10,14,1.4,18,1.8,5,0.5,29,2.9,139,13.9,95.2,183,18.3,0,0,0,0
Remi Ojo,9,10,1.11,4,0.44,10,1.11,23,2.56,23,2.56,95.8,112,12.44,0,0,0,0
Gord Harrison,14,12,0.86,18,1.29,15,1.07,30,2.14,203,14.5,93.1,248,17.71,0,0,0,0
Jacky Hau,9,9,1.0,2,0.22,11,1.22,19,2.11,34,3.78,97.1,119,13.22,0,0,0,0
Trevor Henry,14,13,0.93,11,0.79,11,0.79,28,2.0,83,5.93,94.3,222,15.86,0,0,0,0
Nima Mostaghim,14,12,0.86,11,0.79,11,0.79,26,1.86,127,9.07,94.8,229,16.36,0,0,0,0
Andrew Kubinec,8,5,0.63,5,0.63,5,0.63,11,1.38,37,4.63,90.2,102,12.75,0,0,0,0
Kevin Horgan,9,8,0.89,3,0.33,6,0.67,12,1.33,49,5.44,96.1,111,12.33,0,0,0,0
Phil Watanabe,9,8,0.89,3,0.33,5,0.56,12,1.33,23,2.56,85.2,134,14.89,0,0,0,0
Eric Blanchard,8,7,0.88,1,0.13,2,0.25,10,1.25,16,2.0,100.0,85,10.63,0,0,0,0
Ricky Szeto,11,14,1.27,2,0.18,4,0.36,13,1.18,29,2.64,90.6,136,12.36,0,0,0,0
Adrian Yearwood,11,8,0.73,13,1.18,5,0.45,12,1.09,252,22.91,95.1,194,17.64,0,0,0,0
Liam Bradford,13,11,0.85,3,0.23,8,0.62,13,1.0,57,4.38,87.7,166,12.77,0,0,0,0
Michael Jones,14,5,0.36,22,1.57,16,1.14,14,1.0,406,29.0,93.5,303,21.64,0,0,0,0
Eamon Pinto,10,8,0.8,2,0.2,3,0.3,7,0.7,37,3.7,97.4,139,13.9,0,0,0,0
Sachin Raina,12,8,0.67,8,0.67,3,0.25,6,0.5,302,25.17,96.2,191,15.92,0,0,0,0
Andrew Watts,11,3,0.27,6,0.55,6,0.55,4,0.36,106,9.64,92.2,157,14.27,0,0,0,0
Jaret Meron,12,10,0.83,4,0.33,5,0.42,2,0.17,163,13.58,92.1,187,15.58,0,0,0,0
