Unnamed: 0,G,GLS,GPG,AST,APG,BLK,BPG,+ / -,+/- PG,CMP,CPG,CMP %,PP,PPG,RY,RYG,TY,TYG
Liam Shramko,16,19,1.19,15,0.94,21,1.31,44,2.75,164,10.25,95.9,247,15.44,0,0,0,0
Isaac Julien,16,22,1.38,12,0.75,12,0.75,35,2.19,98,6.13,94.2,243,15.19,0,0,0,0
Jon Pressimone,16,40,2.5,9,0.56,7,0.44,35,2.19,75,4.69,84.3,263,16.44,0,0,0,0
Daniel Selwyn,16,11,0.69,64,4.0,27,1.69,32,2.0,847,52.94,92.7,378,23.63,0,0,0,0
Tim Ryan,16,29,1.81,10,0.63,7,0.44,29,1.81,88,5.5,88.9,107,6.69,0,0,0,0
Evan Feeney,16,20,1.25,21,1.31,8,0.5,29,1.81,148,9.25,92.5,188,11.75,0,0,0,0
Justin Solis,16,20,1.25,10,0.63,7,0.44,26,1.63,74,4.63,93.7,113,7.06,0,0,0,0
Bill Barnes,16,10,0.63,5,0.31,13,0.81,15,0.94,43,2.69,93.5,125,7.81,0,0,0,0
Jake Berzoff-Cohen,16,7,0.44,12,0.75,10,0.63,12,0.75,130,8.13,90.9,166,10.38,0,0,0,0
Jon Ginsberg,16,6,0.38,14,0.88,14,0.88,12,0.75,349,21.81,95.4,242,15.13,0,0,0,0
Paul Butterfoss,6,0,0.0,4,0.67,6,1.0,4,0.67,38,6.33,86.4,46,7.67,0,0,0,0
Matthew Radhe,16,7,0.44,17,1.06,8,0.5,9,0.56,220,13.75,93.6,225,14.06,0,0,0,0
Glenn Poole,16,4,0.25,13,0.81,9,0.56,7,0.44,193,12.06,92.3,166,10.38,0,0,0,0
Carlos Rodriguez,16,3,0.19,2,0.13,6,0.38,7,0.44,12,0.75,80.0,69,4.31,0,0,0,0
Burke Nash,16,9,0.56,0,0.0,5,0.31,6,0.38,39,2.44,92.9,110,6.88,0,0,0,0
Matt Koh,11,4,0.36,2,0.18,4,0.36,3,0.27,20,1.82,90.9,77,7.0,0,0,0,0
Greg Esser,11,4,0.36,0,0.0,4,0.36,3,0.27,13,1.18,92.9,73,6.64,0,0,0,0
Kevin Connolly,16,5,0.31,7,0.44,1,0.06,3,0.19,53,3.31,85.5,112,7.0,0,0,0,0
Eric Clarkson,11,1,0.09,1,0.09,3,0.27,2,0.18,9,0.82,75.0,27,2.45,0,0,0,0
Jonathan Kwan,16,6,0.38,3,0.19,3,0.19,2,0.13,56,3.5,91.8,103,6.44,0,0,0,0
Brad Tinney,16,3,0.19,1,0.06,2,0.13,2,0.13,19,1.19,82.6,80,5.0,0,0,0,0
Josh Mull,11,1,0.09,1,0.09,0,0.0,0,0.0,23,2.09,95.8,43,3.91,0,0,0,0
Danny Dennin,16,8,0.5,6,0.38,14,0.88,0,0.0,88,5.5,83.8,202,12.63,0,0,0,0
Charles Yu,16,0,0.0,0,0.0,2,0.13,-1,-0.06,14,0.88,82.4,15,0.94,0,0,0,0
Freddy Perlman,11,5,0.45,9,0.82,6,0.55,-1,-0.09,90,8.18,83.3,117,10.64,0,0,0,0
David Zurbuchen,16,1,0.06,0,0.0,0,0.0,-2,-0.13,7,0.44,87.5,20,1.25,0,0,0,0
Owen Williams,16,1,0.06,3,0.19,2,0.13,-4,-0.25,59,3.69,86.8,87,5.44,0,0,0,0
Zach Norrbom,16,1,0.06,3,0.19,1,0.06,-5,-0.31,110,6.88,94.8,114,7.13,0,0,0,0
Joe DiPaula,16,14,0.88,10,0.63,6,0.38,-16,-1.0,374,23.38,92.1,342,21.38,0,0,0,0
