Player,G,GLS,GPG,AST,APG,BLK,BPG,+ / -,+/- PG,CMP,CPG,CMP %,PP,PPG,RY,RYG,TY,TYG
Mark Lloyd,6,12,2.0,16,2.67,12,2.0,32,5.33,98,16.33,92.5,181,30.17,0,0,0,0
Kirk Nylen,1,3,3.0,2,2.0,0,0.0,5,5.0,11,11.0,100.0,21,21.0,0,0,0,0
Andrew Carroll,12,48,4.0,25,2.08,9,0.75,55,4.58,223,18.58,91.4,291,24.25,0,0,0,0
Cameron Harris,16,42,2.63,51,3.19,14,0.88,66,4.13,308,19.25,90.3,378,23.63,0,0,0,0
Jonathan Martin,12,18,1.5,23,1.92,16,1.33,44,3.67,80,6.67,86.0,263,21.92,0,0,0,0
Benjamin Burelle,13,30,2.31,29,2.23,5,0.38,45,3.46,129,9.92,88.4,241,18.54,0,0,0,0
Steve Armitage,6,14,2.33,7,1.17,3,0.5,20,3.33,54,9.0,94.7,127,21.17,0,0,0,0
Darren Wu,8,16,2.0,11,1.38,5,0.63,25,3.13,69,8.63,92.0,137,17.13,0,0,0,0
Mike Mackenzie,15,25,1.67,8,0.53,27,1.8,44,2.93,62,4.13,84.9,281,18.73,0,0,0,0
Jeff Lindquist,17,25,1.47,37,2.18,4,0.24,49,2.88,238,14.0,94.1,338,19.88,0,0,0,0
Isaiah Masek-Kelly,15,21,1.4,45,3.0,11,0.73,43,2.87,289,19.27,92.0,400,26.67,0,0,0,0
Marijo Zlatic,16,13,0.81,11,0.69,21,1.31,39,2.44,81,5.06,94.2,264,16.5,0,0,0,0
Jeffrey Woo,8,16,2.0,2,0.25,4,0.5,19,2.38,24,3.0,92.3,95,11.88,0,0,0,0
Bretton Tan,15,18,1.2,4,0.27,23,1.53,35,2.33,92,6.13,92.9,299,19.93,0,0,0,0
Jay Boychuk,9,14,1.56,12,1.33,1,0.11,21,2.33,72,8.0,94.7,184,20.44,0,0,0,0
Iain Mackenzie,14,10,0.71,10,0.71,17,1.21,32,2.29,73,5.21,96.1,225,16.07,0,0,0,0
Geoff Powell,7,6,0.86,8,1.14,5,0.71,16,2.29,52,7.43,94.5,156,22.29,0,0,0,0
Adrian Yearwood,15,20,1.33,33,2.2,4,0.27,33,2.2,330,22.0,95.1,303,20.2,0,0,0,0
Shawn Chua,1,2,2.0,0,0.0,0,0.0,2,2.0,1,1.0,100.0,13,13.0,0,0,0,0
Remi Ojo,7,7,1.0,5,0.71,2,0.29,12,1.71,14,2.0,87.5,76,10.86,0,0,0,0
Jason Huynh,13,19,1.46,6,0.46,6,0.46,18,1.38,120,9.23,93.0,250,19.23,0,0,0,0
Jonathan Edwards,6,5,0.83,2,0.33,4,0.67,8,1.33,18,3.0,94.7,82,13.67,0,0,0,0
Connor Armstrong,16,19,1.19,12,0.75,7,0.44,19,1.19,409,25.56,95.8,347,21.69,0,0,0,0
Jeremy Norden,9,2,0.22,24,2.67,3,0.33,10,1.11,140,15.56,88.1,190,21.11,0,0,0,0
Michael Jones,9,1,0.11,7,0.78,5,0.56,9,1.0,92,10.22,97.9,147,16.33,0,0,0,0
Thomson McKnight,17,13,0.76,27,1.59,4,0.24,16,0.94,626,36.82,96.2,395,23.24,0,0,0,0
Jacky Hau,15,5,0.33,10,0.67,8,0.53,13,0.87,71,4.73,87.7,239,15.93,0,0,0,0
Gord Harrison,9,3,0.33,1,0.11,8,0.89,6,0.67,55,6.11,90.2,125,13.89,0,0,0,0
Paul Tatulea,8,4,0.5,2,0.25,4,0.5,2,0.25,46,5.75,86.8,113,14.13,0,0,0,0
Jaret Meron,16,9,0.56,14,0.88,6,0.38,1,0.06,192,12.0,87.7,268,16.75,0,0,0,0
Sachin Raina,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,1,1.0,0,0,0,0
Bryan Yue,2,0,0.0,0,0.0,0,0.0,0,0.0,1,0.5,100.0,25,12.5,0,0,0,0
Greg Ellis,5,3,0.6,0,0.0,0,0.0,-5,-1.0,44,8.8,91.7,71,14.2,0,0,0,0
