Unnamed: 0,G,GLS,GPG,AST,APG,BLK,BPG,+ / -,+/- PG,CMP,CPG,CMP %,PP,PPG,RY,RYG,TY,TYG
Jonathan Martin,7,34,4.86,16,2.29,16,2.29,62,8.86,66,9.43,95.7,170,24.29,0,0,0,0
Isaiah Masek-Kelly,16,55,3.44,57,3.56,26,1.63,101,6.31,366,22.88,92.7,393,24.56,0,0,0,0
Jeff Lindquist,14,29,2.07,55,3.93,8,0.57,74,5.29,321,22.93,95.5,339,24.21,0,0,0,0
Cameron Harris,15,48,3.2,47,3.13,15,1.0,77,5.13,292,19.47,92.4,362,24.13,0,0,0,0
Steve Armitage,12,53,4.42,7,0.58,8,0.67,55,4.58,80,6.67,94.1,245,20.42,0,0,0,0
Geoff Powell,10,27,2.7,10,1.0,18,1.8,43,4.3,77,7.7,86.5,198,19.8,0,0,0,0
Adrian Yearwood,14,20,1.43,41,2.93,7,0.5,45,3.21,423,30.21,95.5,304,21.71,0,0,0,0
Iain Mackenzie,4,6,1.5,3,0.75,6,1.5,12,3.0,21,5.25,95.5,66,16.5,0,0,0,0
Andrew Carroll,16,19,1.19,19,1.19,20,1.25,44,2.75,148,9.25,93.1,330,20.63,0,0,0,0
Taylor Kotwa,5,6,1.2,2,0.4,5,1.0,13,2.6,11,2.2,100.0,85,17.0,0,0,0,0
Anatoly Vasilyev,10,2,0.2,30,3.0,7,0.7,26,2.6,221,22.1,94.4,238,23.8,0,0,0,0
Remi Ojo,11,10,0.91,6,0.55,25,2.27,28,2.55,44,4.0,86.3,174,15.82,0,0,0,0
Trevor Henry,13,13,1.0,19,1.46,12,0.92,33,2.54,73,5.62,90.1,245,18.85,0,0,0,0
Andrew Kubinec,11,14,1.27,6,0.55,9,0.82,22,2.0,49,4.45,90.7,182,16.55,0,0,0,0
Jaret Meron,6,7,1.17,6,1.0,5,0.83,11,1.83,71,11.83,92.2,97,16.17,0,0,0,0
Gord Harrison,13,12,0.92,16,1.23,8,0.62,22,1.69,148,11.38,93.1,248,19.08,0,0,0,0
Jacky Hau,15,15,1.0,8,0.53,17,1.13,22,1.47,71,4.73,81.6,245,16.33,0,0,0,0
Phil Watanabe,11,9,0.82,5,0.45,7,0.64,16,1.45,38,3.45,90.5,170,15.45,0,0,0,0
Michael Jones,14,8,0.57,15,1.07,6,0.43,20,1.43,239,17.07,96.8,270,19.29,0,0,0,0
Nathan Hirst,10,11,1.1,9,0.9,2,0.2,14,1.4,136,13.6,96.5,172,17.2,0,0,0,0
Bryan Yue,11,8,0.73,4,0.36,5,0.45,13,1.18,47,4.27,97.9,161,14.64,0,0,0,0
Nima Mostaghim,10,5,0.5,10,1.0,3,0.3,11,1.1,48,4.8,90.6,122,12.2,0,0,0,0
Thomson McKnight,16,8,0.5,39,2.44,8,0.5,17,1.06,608,38.0,94.3,362,22.63,0,0,0,0
Liam Bradford,14,14,1.0,7,0.5,5,0.36,11,0.79,122,8.71,90.4,244,17.43,0,0,0,0
Alex Vlahos,9,12,1.33,4,0.44,0,0.0,7,0.78,54,6.0,93.1,139,15.44,0,0,0,0
Sachin Raina,14,6,0.43,6,0.43,9,0.64,7,0.5,299,21.36,96.5,248,17.71,0,0,0,0
Andrew Watts,14,3,0.21,7,0.5,7,0.5,6,0.43,85,6.07,89.5,215,15.36,0,0,0,0
Mark Lloyd,1,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,100.0,1,1.0,0,0,0,0
