Player,G,GLS,GPG,AST,APG,BLK,BPG,+ / -,+/- PG,CMP,CPG,CMP %,PP,PPG,RY,RYG,TY,TYG
Dylan Freechild,12,40,3.33,45,3.75,4,0.33,66,5.5,353,29.42,95.1,344,28.67,0,0,0,0
Jay Froude,17,49,2.88,23,1.35,32,1.88,88,5.18,153,9.0,91.6,368,21.65,0,0,0,0
Abe Coffin,16,48,3.0,39,2.44,4,0.25,67,4.19,261,16.31,93.2,387,24.19,0,0,0,0
Stanley Peterson,13,31,2.38,21,1.62,9,0.69,51,3.92,132,10.15,93.6,275,21.15,0,0,0,0
Thomas Slack,9,20,2.22,11,1.22,5,0.56,31,3.44,134,14.89,97.8,174,19.33,0,0,0,0
Dalton Smith,16,29,1.81,38,2.38,12,0.75,53,3.31,329,20.56,93.2,383,23.94,0,0,0,0
Kai Marshall,14,27,1.93,17,1.21,16,1.14,42,3.0,148,10.57,90.8,309,22.07,0,0,0,0
Ben Lohre,8,18,2.25,13,1.63,3,0.38,24,3.0,175,21.88,96.7,185,23.13,0,0,0,0
Jake Anderson,3,5,1.67,2,0.67,2,0.67,8,2.67,10,3.33,100.0,43,14.33,0,0,0,0
Jimmy Mickle,15,34,2.27,52,3.47,15,1.0,39,2.6,467,31.13,89.0,441,29.4,0,0,0,0
Kurt Gibson,4,7,1.75,19,4.75,1,0.25,10,2.5,211,52.75,93.4,98,24.5,0,0,0,0
Daniel Emmons,13,16,1.23,8,0.62,15,1.15,30,2.31,46,3.54,86.8,201,15.46,0,0,0,0
Chris Mazur,15,17,1.13,44,2.93,6,0.4,33,2.2,562,37.47,94.5,387,25.8,0,0,0,0
Chris Larberg,15,19,1.27,7,0.47,9,0.6,31,2.07,85,5.67,96.6,246,16.4,0,0,0,0
Matt Jackson,15,18,1.2,12,0.8,8,0.53,31,2.07,171,11.4,96.1,248,16.53,0,0,0,0
Matt Costello,1,1,1.0,0,0.0,1,1.0,2,2.0,3,3.0,100.0,15,15.0,0,0,0,0
Casey Hogg,13,12,0.92,7,0.54,6,0.46,20,1.54,138,10.62,96.5,220,16.92,0,0,0,0
Gabriel Hernandez,4,4,1.0,0,0.0,3,0.75,5,1.25,6,1.5,75.0,60,15.0,0,0,0,0
Jason Holleran,13,8,0.62,4,0.31,7,0.54,15,1.15,62,4.77,93.9,201,15.46,0,0,0,0
Steven Borik,2,0,0.0,1,0.5,1,0.5,2,1.0,10,5.0,100.0,23,11.5,0,0,0,0
Joel Clutton,7,4,0.57,0,0.0,6,0.86,7,1.0,24,3.43,92.3,88,12.57,0,0,0,0
Zach Riggins,9,2,0.22,3,0.33,6,0.67,9,1.0,32,3.56,100.0,124,13.78,0,0,0,0
Dillon Larberg,5,0,0.0,5,1.0,4,0.8,5,1.0,31,6.2,88.6,72,14.4,0,0,0,0
Ben Lewis,13,6,0.46,1,0.08,14,1.08,13,1.0,40,3.08,88.9,197,15.15,0,0,0,0
Reid Bacon,11,7,0.64,3,0.27,6,0.55,10,0.91,28,2.55,87.5,174,15.82,0,0,0,0
Ashton Lewis,5,1,0.2,0,0.0,2,0.4,3,0.6,1,0.2,100.0,32,6.4,0,0,0,0
Brandon Malecek,17,11,0.65,34,2.0,8,0.47,9,0.53,670,39.41,94.1,398,23.41,0,0,0,0
Matt Hudspith,4,1,0.25,1,0.25,0,0.0,2,0.5,4,1.0,100.0,50,12.5,0,0,0,0
Matt Bennett,15,3,0.2,27,1.8,14,0.93,7,0.47,315,21.0,90.0,307,20.47,0,0,0,0
Patrick Eberle,9,1,0.11,2,0.22,3,0.33,2,0.22,25,2.78,86.2,110,12.22,0,0,0,0
Jack Wooldridge,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,7,7.0,0,0,0,0
Paul Burt,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,16,8.0,0,0,0,0
Kevin Christian,7,1,0.14,1,0.14,2,0.29,-6,-0.86,57,8.14,86.4,87,12.43,0,0,0,0
