Player,Team,G,GLS,GPG,AST,APG,BLK,BPG,+ / -,+/- PG,CMP,CPG,CMP %,PP,PPG,RY,RYG,TY,TYG
Ben Jagt,New York Empire,15,67,4.47,64,4.27,14,0.93,111,7.4,287,19.13,91.4,379,25.27,358,24,95,6
Conor Kline,New York Empire,15,52,3.47,12,0.8,3,0.2,60,4.0,79,5.27,95.2,234,15.6,177,12,16,1
Jack Williams,New York Empire,14,27,1.93,43,3.07,9,0.64,56,4.0,442,31.57,95.9,364,26.0,158,11,163,12
Grant Lindsley,New York Empire,12,27,2.25,42,3.5,3,0.25,47,3.92,330,27.5,93.8,289,24.08,398,33,391,33
Jeff Babbitt,New York Empire,15,35,2.33,5,0.33,22,1.47,58,3.87,110,7.33,97.3,314,20.93,122,8,27,2
Ben Katz,New York Empire,13,15,1.15,30,2.31,11,0.85,42,3.23,455,35.0,97.4,306,23.54,-29,-2,271,21
Matt Stevens,New York Empire,13,35,2.69,5,0.38,5,0.38,41,3.15,76,5.85,97.4,223,17.15,0,0,0,0
Harper Garvey,New York Empire,15,6,0.4,60,4.0,8,0.53,36,2.4,675,45.0,95.1,348,23.2,190,13,497,33
Jibran Mieser,New York Empire,11,9,0.82,10,0.91,6,0.55,18,1.64,115,10.45,94.3,192,17.45,-7,-1,17,2
Beau Kittredge,New York Empire,14,8,0.57,4,0.29,17,1.21,22,1.57,192,13.71,97.0,257,18.36,42,3,22,2
Ryan Drost,New York Empire,14,8,0.57,3,0.21,14,1.0,20,1.43,63,4.5,92.6,231,16.5,0,0,0,0
Mike Drost,New York Empire,14,13,0.93,7,0.5,10,0.71,18,1.29,59,4.21,85.5,245,17.5,82,6,11,1
Albert Alarcon,New York Empire,14,7,0.5,6,0.43,4,0.29,14,1.0,74,5.29,96.1,186,13.29,29,2,36,3
Josue Alorro,New York Empire,10,1,0.1,6,0.6,7,0.7,9,0.9,80,8.0,94.1,165,16.5,-7,-1,-11,-1
Marques Brownlee,New York Empire,11,4,0.36,8,0.73,1,0.09,9,0.82,31,2.82,88.6,156,14.18,-5,0,36,3
Ryan Saffa,New York Empire,3,0,0.0,0,0.0,2,0.67,2,0.67,5,1.67,100.0,27,9.0,0,0,0,0
Matt LeMar,New York Empire,15,6,0.4,10,0.67,5,0.33,10,0.67,133,8.87,92.4,232,15.47,26,2,5,0
Matt Weintraub,New York Empire,11,3,0.27,4,0.36,2,0.18,7,0.64,68,6.18,97.1,112,10.18,0,0,8,1
Ryan Brown,New York Empire,11,3,0.27,1,0.09,3,0.27,7,0.64,13,1.18,100.0,111,10.09,0,0,0,0
Noriaki To,New York Empire,2,0,0.0,1,0.5,0,0.0,1,0.5,4,2.0,100.0,13,6.5,0,0,0,0
Tristan Yarter,New York Empire,8,1,0.13,3,0.38,3,0.38,4,0.5,24,3.0,88.9,74,9.25,17,2,-11,-1
Sam Feder,New York Empire,10,1,0.1,3,0.3,1,0.1,3,0.3,26,2.6,96.3,70,7.0,15,2,20,2
TJ Stanton,New York Empire,7,2,0.29,1,0.14,0,0.0,1,0.14,8,1.14,88.9,63,9.0,0,0,0,0
Ryan Holmes,New York Empire,7,2,0.29,0,0.0,0,0.0,1,0.14,8,1.14,88.9,58,8.29,21,3,-9,-1
Kyle Dew,New York Empire,1,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,100.0,9,9.0,0,0,0,0
Matt Auletta,New York Empire,11,0,0.0,4,0.36,0,0.0,-1,-0.09,34,3.09,89.5,110,10.0,0,0,0,0
Joe Ouellette,New York Empire,2,0,0.0,0,0.0,0,0.0,-1,-0.5,3,1.5,75.0,19,9.5,0,0,0,0
Alexander Isik,New York Empire,6,1,0.17,0,0.0,0,0.0,-3,-0.5,31,5.17,91.2,58,9.67,0,0,0,0
Elliot Lee,New York Empire,5,1,0.2,2,0.4,0,0.0,-3,-0.6,121,24.2,95.3,69,13.8,0,0,0,0
Zach Grappone,New York Empire,1,0,0.0,0,0.0,0,0.0,-1,-1.0,0,0.0,0.0,4,4.0,0,0,0,0
Travis Dunn,San Diego Growlers,13,40,3.08,57,4.38,9,0.69,81,6.23,372,28.62,94.2,346,26.62,0,0,0,0
Jonathan Helton,San Diego Growlers,12,27,2.25,44,3.67,11,0.92,57,4.75,308,25.67,93.1,322,26.83,0,0,0,0
Sean Ham,San Diego Growlers,12,50,4.17,6,0.5,2,0.17,52,4.33,125,10.42,96.2,283,23.58,0,0,0,0
Jesse Cohen,San Diego Growlers,8,25,3.13,16,2.0,1,0.13,33,4.13,121,15.13,94.5,165,20.63,0,0,0,0
Tim Okita,San Diego Growlers,12,15,1.25,44,3.67,3,0.25,47,3.92,511,42.58,97.9,278,23.17,0,0,0,0
Wes Groth,San Diego Growlers,13,29,2.23,29,2.23,7,0.54,47,3.62,136,10.46,89.5,235,18.08,0,0,0,0
Steven Milardovich,San Diego Growlers,13,11,0.85,24,1.85,16,1.23,35,2.69,187,14.38,93.5,310,23.85,0,0,0,0
Kyle Smith,San Diego Growlers,1,1,1.0,0,0.0,1,1.0,2,2.0,2,2.0,100.0,12,12.0,0,0,0,0
Will Turner,San Diego Growlers,11,2,0.18,11,1.0,15,1.36,22,2.0,163,14.82,97.0,231,21.0,0,0,0,0
Trevor Purdy,San Diego Growlers,12,8,0.67,7,0.58,11,0.92,23,1.92,28,2.33,93.3,170,14.17,0,0,0,0
Dominic Leggio,San Diego Growlers,10,8,0.8,11,1.1,7,0.7,19,1.9,235,23.5,97.5,222,22.2,0,0,0,0
Sam Fontaine,San Diego Growlers,12,9,0.75,22,1.83,4,0.33,22,1.83,182,15.17,94.3,252,21.0,0,0,0,0
Ryo Senda,San Diego Growlers,12,15,1.25,11,0.92,5,0.42,21,1.75,78,6.5,88.6,186,15.5,0,0,0,0
Nathan Bridges,San Diego Growlers,9,11,1.22,2,0.22,6,0.67,15,1.67,63,7.0,95.5,125,13.89,0,0,0,0
Michael Tran,San Diego Growlers,12,19,1.58,15,1.25,5,0.42,20,1.67,459,38.25,96.2,248,20.67,0,0,0,0
Scott Radlauer,San Diego Growlers,13,9,0.69,6,0.46,18,1.38,21,1.62,45,3.46,90.0,204,15.69,0,0,0,0
Maxwell Hume,San Diego Growlers,12,13,1.08,5,0.42,7,0.58,15,1.25,65,5.42,89.0,226,18.83,0,0,0,0
Marcel Osborne,San Diego Growlers,12,9,0.75,3,0.25,6,0.5,13,1.08,51,4.25,96.2,207,17.25,0,0,0,0
Jake Gutkowski,San Diego Growlers,5,5,1.0,1,0.2,1,0.2,5,1.0,66,13.2,98.5,64,12.8,0,0,0,0
Dave Ritchie,San Diego Growlers,6,5,0.83,0,0.0,1,0.17,5,0.83,14,2.33,93.3,53,8.83,0,0,0,0
Bailey Wu,San Diego Growlers,11,0,0.0,3,0.27,5,0.45,7,0.64,23,2.09,100.0,106,9.64,0,0,0,0
Mark Slader,San Diego Growlers,8,2,0.25,3,0.38,6,0.75,5,0.63,43,5.38,87.8,84,10.5,0,0,0,0
Ryan Lacy,San Diego Growlers,4,1,0.25,0,0.0,1,0.25,2,0.5,6,1.5,100.0,32,8.0,0,0,0,0
Aidan Hall,San Diego Growlers,6,2,0.33,1,0.17,0,0.0,3,0.5,13,2.17,100.0,62,10.33,0,0,0,0
Michael Dehnbostel,San Diego Growlers,2,0,0.0,0,0.0,1,0.5,1,0.5,1,0.5,100.0,14,7.0,0,0,0,0
Andrew Kohl,San Diego Growlers,4,0,0.0,1,0.25,1,0.25,2,0.5,21,5.25,100.0,53,13.25,0,0,0,0
Josh Kohl,San Diego Growlers,7,4,0.57,2,0.29,2,0.29,3,0.43,25,3.57,83.3,74,10.57,0,0,0,0
Kyle Rubin,San Diego Growlers,11,3,0.27,2,0.18,3,0.27,4,0.36,33,3.0,94.3,151,13.73,0,0,0,0
Bryce Lozinski,San Diego Growlers,4,2,0.5,0,0.0,1,0.25,1,0.25,10,2.5,90.9,44,11.0,0,0,0,0
Eric Hytönen,San Diego Growlers,1,0,0.0,1,1.0,0,0.0,0,0.0,4,4.0,80.0,9,9.0,0,0,0,0
