Player,Team,G,GLS,GPG,AST,APG,BLK,BPG,+ / -,+/- PG,CMP,CPG,CMP %,PP,PPG,RY,RYG,TY,TYG
Jacob Sames,Austin Sol,9,7,0.78,8,0.89,6,0.67,12,1.33,259,28.78,97.7,153,17.0,810,90,1388,154
Jake Worthington,Austin Sol,6,3,0.5,0,0.0,4,0.67,7,1.17,18,3.0,100.0,62,10.33,300,50,38,6
Joe Sefton,Austin Sol,7,5,0.71,10,1.43,0,0.0,7,1.0,153,21.86,95.6,109,15.57,536,77,1036,148
Brian Street,Austin Sol,1,0,0.0,1,1.0,1,1.0,1,1.0,11,11.0,91.7,15,15.0,39,39,114,114
Brian Gfroerer,Austin Sol,7,4,0.57,1,0.14,3,0.43,6,0.86,19,2.71,90.5,74,10.57,210,30,87,12
Alex Heath,Austin Sol,5,0,0.0,5,1.0,0,0.0,3,0.6,35,7.0,94.6,52,10.4,122,24,285,57
Jackson Potts,Austin Sol,4,0,0.0,2,0.5,0,0.0,1,0.25,7,1.75,87.5,46,11.5,79,20,75,19
Matt Bennett,Austin Sol,7,1,0.14,12,1.71,3,0.43,1,0.14,145,20.71,90.6,122,17.43,67,10,1126,161
Robert Lewis,Austin Sol,9,2,0.22,0,0.0,2,0.22,0,0.0,53,5.89,93.0,88,9.78,-130,-14,222,25
Max Grove,Austin Sol,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,1,1.0,0,0,0,0
Nash Mock,Austin Sol,1,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,100.0,7,7.0,2,2,-3,-3
Matt Chambers,Austin Sol,4,1,0.25,1,0.25,2,0.5,0,0.0,40,10.0,93.0,41,10.25,168,42,128,32
Paul Starkel,Austin Sol,10,5,0.5,16,1.6,2,0.2,-1,-0.1,331,33.1,94.0,174,17.4,459,46,2217,222
Ryan Purcell,Austin Sol,3,0,0.0,5,1.67,0,0.0,-3,-1.0,91,30.33,91.9,46,15.33,-44,-15,651,217
John Clyde,Austin Sol,6,1,0.17,4,0.67,3,0.5,-8,-1.33,65,10.83,80.2,87,14.5,-109,-18,490,82
Joe Merrill,DC Breeze,8,25,3.13,4,0.5,2,0.25,30,3.75,49,6.13,98.0,86,10.75,1264,158,89,11
Joe Richards,DC Breeze,8,23,2.88,8,1.0,3,0.38,30,3.75,29,3.63,90.6,105,13.13,1066,133,146,18
AJ Merriman,DC Breeze,8,11,1.38,13,1.63,14,1.75,30,3.75,44,5.5,86.3,130,16.25,788,99,481,60
Jeff Wodatch,DC Breeze,4,8,2.0,9,2.25,1,0.25,14,3.5,74,18.5,96.1,63,15.75,735,184,518,130
Kenta Kawaguchi,DC Breeze,2,1,0.5,2,1.0,3,1.5,6,3.0,13,6.5,100.0,22,11.0,111,56,32,16
Zach Norrbom,DC Breeze,7,13,1.86,13,1.86,2,0.29,21,3.0,226,32.29,97.8,77,11.0,777,111,1188,170
Garrett Braun,DC Breeze,8,8,1.0,18,2.25,2,0.25,23,2.88,185,23.13,98.9,105,13.13,1123,140,846,106
Jonny Malks,DC Breeze,8,9,1.13,20,2.5,2,0.25,22,2.75,368,46.0,97.9,109,13.63,674,84,1911,239
Rhys Bergeron,DC Breeze,7,6,0.86,2,0.29,7,1.0,14,2.0,28,4.0,96.6,98,14.0,400,57,133,19
Ray Mendoza,DC Breeze,1,1,1.0,0,0.0,2,2.0,2,2.0,3,3.0,75.0,13,13.0,100,100,3,3
Jacques Nissen,DC Breeze,7,7,1.0,11,1.57,2,0.29,13,1.86,199,28.43,96.6,99,14.14,1221,174,837,120
Gus Norrbom,DC Breeze,8,7,0.88,11,1.38,1,0.13,14,1.75,238,29.75,98.3,94,11.75,486,61,1104,138
Rowan McDonnell,DC Breeze,8,3,0.38,12,1.5,6,0.75,12,1.5,352,44.0,97.8,117,14.63,332,42,1213,152
Luke Rehfuss,DC Breeze,2,2,1.0,1,0.5,0,0.0,3,1.5,4,2.0,100.0,23,11.5,148,74,15,8
Kevin Healey,DC Breeze,3,7,2.33,0,0.0,0,0.0,4,1.33,11,3.67,84.6,32,10.67,309,103,45,15
Jeremy Hess,DC Breeze,7,4,0.57,6,0.86,2,0.29,9,1.29,32,4.57,91.4,132,18.86,293,42,259,37
Kevin Versteeg,DC Breeze,4,2,0.5,0,0.0,3,0.75,5,1.25,2,0.5,100.0,39,9.75,55,14,-10,-3
Steven Wartinbee,DC Breeze,4,1,0.25,6,1.5,1,0.25,5,1.25,56,14.0,96.6,43,10.75,328,82,362,91
Duncan Fitzgerald,DC Breeze,7,8,1.14,1,0.14,3,0.43,8,1.14,57,8.14,95.0,103,14.71,245,35,415,59
Quinn Bergeron,DC Breeze,7,2,0.29,0,0.0,8,1.14,8,1.14,24,3.43,96.0,87,12.43,166,24,89,13
Jasper Tom,DC Breeze,7,3,0.43,2,0.29,5,0.71,8,1.14,57,8.14,98.3,89,12.71,220,31,385,55
Ben Green,DC Breeze,7,5,0.71,0,0.0,5,0.71,7,1.0,22,3.14,95.7,106,15.14,419,60,-37,-5
Colum Bergeron,DC Breeze,2,0,0.0,1,0.5,2,1.0,2,1.0,8,4.0,88.9,15,7.5,69,35,54,27
David Shields,DC Breeze,7,1,0.14,8,1.14,2,0.29,7,1.0,84,12.0,96.6,99,14.14,101,14,698,100
Kyle Vezina,DC Breeze,1,0,0.0,0,0.0,1,1.0,1,1.0,0,0.0,0.0,7,7.0,0,0,0,0
Houston Parks,DC Breeze,4,0,0.0,2,0.5,2,0.5,3,0.75,12,3.0,100.0,64,16.0,160,40,26,7
David Bloodgood,DC Breeze,7,1,0.14,6,0.86,4,0.57,3,0.43,129,18.43,94.9,134,19.14,98,14,813,116
Kris Harrison,DC Breeze,5,0,0.0,1,0.2,2,0.4,1,0.2,41,8.2,97.6,73,14.6,78,16,141,28
Justin Keller,DC Breeze,1,0,0.0,0,0.0,0,0.0,0,0.0,2,2.0,100.0,6,6.0,-26,-26,10,10
Gabe Webster,DC Breeze,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,1,1.0,0,0,0,0
Aaron Bartlett,DC Breeze,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,4,4.0,0,0,0,0
Dane Warner,DC Breeze,1,1,1.0,1,1.0,0,0.0,0,0.0,4,4.0,80.0,16,16.0,66,66,44,44
Ben Jagt,New York Empire,6,22,3.67,26,4.33,8,1.33,44,7.33,139,23.17,92.7,160,26.67,2323,387,884,147
Ryan Osgar,New York Empire,6,18,3.0,31,5.17,1,0.17,39,6.5,163,27.17,94.8,133,22.17,1956,326,1257,210
John Lithio,New York Empire,5,17,3.4,4,0.8,4,0.8,21,4.2,61,12.2,95.3,96,19.2,1333,267,372,74
Jeff Babbitt,New York Empire,6,13,2.17,0,0.0,10,1.67,23,3.83,34,5.67,100.0,120,20.0,707,118,75,13
Jack Williams,New York Empire,5,10,2.0,12,2.4,0,0.0,16,3.2,201,40.2,97.6,125,25.0,1080,216,1030,206
Conor Kline,New York Empire,4,11,2.75,1,0.25,1,0.25,11,2.75,12,3.0,85.7,64,16.0,353,88,40,10
Matt Stevens,New York Empire,6,13,2.17,3,0.5,0,0.0,16,2.67,42,7.0,100.0,99,16.5,424,71,72,12
Elliott Chartock,New York Empire,5,3,0.6,22,4.4,2,0.4,12,2.4,291,58.2,95.1,105,21.0,652,130,2704,541
Marques Brownlee,New York Empire,4,1,0.25,4,1.0,5,1.25,7,1.75,13,3.25,81.3,60,15.0,192,48,227,57
Mike Drost,New York Empire,6,4,0.67,1,0.17,5,0.83,10,1.67,25,4.17,100.0,103,17.17,356,59,-89,-15
Nasser M'Bae Vogel,New York Empire,2,1,0.5,1,0.5,0,0.0,2,1.0,2,1.0,100.0,18,9.0,38,19,37,19
Ryan Drost,New York Empire,4,2,0.5,0,0.0,4,1.0,4,1.0,21,5.25,91.3,62,15.5,221,55,31,8
TJ Stanton,New York Empire,4,2,0.5,0,0.0,2,0.5,3,0.75,2,0.5,100.0,38,9.5,60,15,-11,-3
Josue Alorro,New York Empire,3,0,0.0,3,1.0,1,0.33,2,0.67,15,5.0,88.2,46,15.33,89,30,131,44
Solomon Rueschemeyer-Bailey,New York Empire,6,6,1.0,4,0.67,0,0.0,4,0.67,173,28.83,97.2,107,17.83,249,42,1353,226
Matt LaBar,New York Empire,4,0,0.0,2,0.5,0,0.0,2,0.5,6,1.5,100.0,32,8.0,41,10,55,14
Ben Katz,New York Empire,4,2,0.5,8,2.0,3,0.75,1,0.25,101,25.25,89.4,89,22.25,213,53,1115,279
Angelo Olcese,New York Empire,5,0,0.0,1,0.2,0,0.0,1,0.2,16,3.2,100.0,45,9.0,39,8,117,23
Joe Ouellette,New York Empire,5,2,0.4,0,0.0,0,0.0,1,0.2,3,0.6,75.0,42,8.4,49,10,33,7
Ryan Holmes,New York Empire,5,1,0.2,0,0.0,2,0.4,1,0.2,3,0.6,60.0,63,12.6,111,22,-34,-7
Sam Feder,New York Empire,6,3,0.5,1,0.17,1,0.17,1,0.17,23,3.83,85.2,80,13.33,247,41,56,9
Matt LeMar,New York Empire,6,1,0.17,4,0.67,0,0.0,0,0.0,44,7.33,89.8,86,14.33,20,3,517,86
Ryan Weaver,New York Empire,3,0,0.0,1,0.33,2,0.67,0,0.0,43,14.33,93.5,35,11.67,74,25,347,116
Noriaki To,New York Empire,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,4,4.0,0,0,0,0
Kainoa Chun Moy,New York Empire,2,0,0.0,1,0.5,1,0.5,0,0.0,11,5.5,84.6,26,13.0,140,70,142,71
Elias Griffin,New York Empire,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,5,5.0,0,0,0,0
Matt Weintraub,New York Empire,5,0,0.0,2,0.4,0,0.0,0,0.0,34,6.8,94.4,55,11.0,-91,-18,398,80
Ben Nelson,New York Empire,1,0,0.0,0,0.0,0,0.0,0,0.0,3,3.0,100.0,13,13.0,-9,-9,43,43
Jake Steen,Seattle Cascades,5,18,3.6,1,0.2,1,0.2,15,3.0,40,8.0,95.2,97,19.4,1049,210,104,21
Brad Houser,Seattle Cascades,4,9,2.25,7,1.75,1,0.25,11,2.75,58,14.5,93.5,81,20.25,880,220,670,168
Garrett Martin,Seattle Cascades,7,3,0.43,14,2.0,8,1.14,18,2.57,83,11.86,93.3,128,18.29,239,34,949,136
Tarik Akyuz,Seattle Cascades,8,14,1.75,9,1.13,5,0.63,20,2.5,75,9.38,91.5,136,17.0,1168,146,376,47
Martin Le,Seattle Cascades,4,6,1.5,3,0.75,2,0.5,10,2.5,30,7.5,96.8,46,11.5,301,75,174,44
Adam Simon,Seattle Cascades,4,2,0.5,10,2.5,2,0.5,8,2.0,100,25.0,94.3,67,16.75,363,91,788,197
Shane Worthington,Seattle Cascades,8,9,1.13,7,0.88,13,1.63,14,1.75,57,7.13,82.6,138,17.25,901,113,601,75
Aidan Lopez-Escarez,Seattle Cascades,6,7,1.17,5,0.83,6,1.0,10,1.67,22,3.67,75.9,76,12.67,528,88,263,44
David Zhou,Seattle Cascades,3,3,1.0,2,0.67,1,0.33,5,1.67,8,2.67,88.9,41,13.67,66,22,143,48
Nick Mahan,Seattle Cascades,8,4,0.5,2,0.25,8,1.0,13,1.63,30,3.75,100.0,120,15.0,439,55,240,30
Dominic Jacobs,Seattle Cascades,7,8,1.14,1,0.14,3,0.43,11,1.57,14,2.0,100.0,94,13.43,336,48,115,16
Spencer Lofink,Seattle Cascades,2,3,1.5,2,1.0,1,0.5,3,1.5,19,9.5,90.5,32,16.0,187,94,67,34
Marc Munoz,Seattle Cascades,7,9,1.29,13,1.86,2,0.29,10,1.43,119,17.0,89.5,113,16.14,639,91,1145,164
Manuel Eckert,Seattle Cascades,7,8,1.14,23,3.29,1,0.14,10,1.43,282,40.29,93.7,153,21.86,1392,199,1747,250
Austin Barden,Seattle Cascades,5,5,1.0,4,0.8,2,0.4,7,1.4,23,4.6,88.5,71,14.2,384,77,270,54
Michael Brisbois,Seattle Cascades,8,6,0.75,7,0.88,1,0.13,11,1.38,40,5.0,95.2,112,14.0,607,76,87,11
Jack Brown,Seattle Cascades,8,11,1.38,4,0.5,5,0.63,11,1.38,77,9.63,95.1,140,17.5,1306,163,304,38
Chris Bubernak,Seattle Cascades,6,7,1.17,0,0.0,4,0.67,8,1.33,9,1.5,81.8,81,13.5,273,46,57,10
Tony Venneri,Seattle Cascades,3,1,0.33,0,0.0,5,1.67,4,1.33,25,8.33,92.6,50,16.67,98,33,172,57
Leander Ramirez,Seattle Cascades,3,1,0.33,1,0.33,3,1.0,4,1.33,8,2.67,88.9,36,12.0,111,37,24,8
Brian Roach,Seattle Cascades,5,3,0.6,4,0.8,1,0.2,5,1.0,18,3.6,90.0,66,13.2,194,39,267,53
Ben Snell,Seattle Cascades,2,4,2.0,6,3.0,0,0.0,2,1.0,75,37.5,92.6,43,21.5,365,183,736,368
Mark Burton,Seattle Cascades,6,7,1.17,15,2.5,1,0.17,5,0.83,176,29.33,91.2,112,18.67,706,118,1173,196
Kenny Lane III,Seattle Cascades,5,3,0.6,5,1.0,0,0.0,3,0.6,54,10.8,93.1,70,14.0,238,48,430,86
Jeff Zhao,Seattle Cascades,4,0,0.0,3,0.75,1,0.25,2,0.5,41,10.25,95.3,61,15.25,46,12,329,82
Dennis Casio,Seattle Cascades,8,3,0.38,7,0.88,0,0.0,0,0.0,230,28.75,95.8,146,18.25,-96,-12,1168,146
Peter Johnson,Seattle Cascades,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,12,12.0,0,0,0,0
Tommy Lin,Seattle Cascades,7,2,0.29,2,0.29,0,0.0,0,0.0,40,5.71,93.0,91,13.0,68,10,217,31
Ryan Sturm,Seattle Cascades,1,0,0.0,0,0.0,0,0.0,0,0.0,3,3.0,100.0,15,15.0,7,7,3,3
Zack Smith,Seattle Cascades,6,1,0.17,0,0.0,0,0.0,-4,-0.67,25,4.17,83.3,74,12.33,60,10,132,22
Otis Williams,Seattle Cascades,1,0,0.0,0,0.0,1,1.0,-2,-2.0,7,7.0,70.0,11,11.0,27,27,68,68
Tanner Halkyard,Boston Glory,6,22,3.67,21,3.5,9,1.5,42,7.0,97,16.17,93.3,142,23.67,1734,289,734,122
Topher Davis,Boston Glory,2,9,4.5,5,2.5,1,0.5,13,6.5,26,13.0,96.3,40,20.0,441,221,304,152
Benjamin Sadok,Boston Glory,7,21,3.0,27,3.86,1,0.14,31,4.43,323,46.14,94.7,170,24.29,1766,252,2494,356
Gustav Haflin,Boston Glory,7,12,1.71,7,1.0,8,1.14,25,3.57,39,5.57,97.5,141,20.14,627,90,245,35
Chris Bartoli,Boston Glory,5,11,2.2,2,0.4,6,1.2,16,3.2,9,1.8,81.8,95,19.0,422,84,73,15
Tannor Johnson,Boston Glory,1,3,3.0,2,2.0,0,0.0,3,3.0,19,19.0,90.5,19,19.0,257,257,128,128
Josh Markette,Boston Glory,2,4,2.0,4,2.0,0,0.0,6,3.0,43,21.5,97.7,33,16.5,236,118,229,115
Nick Thompson,Boston Glory,5,14,2.8,2,0.4,2,0.4,15,3.0,57,11.4,96.6,90,18.0,870,174,319,64
Henry Babcock,Boston Glory,7,9,1.29,20,2.86,2,0.29,20,2.86,245,35.0,95.7,153,21.86,975,139,1709,244
Cole Davis-Brand,Boston Glory,2,1,0.5,4,2.0,1,0.5,4,2.0,26,13.0,92.9,31,15.5,123,62,236,118
Orion Cable,Boston Glory,3,7,2.33,2,0.67,2,0.67,6,2.0,35,11.67,92.1,64,21.33,660,220,198,66
Nick Patel,Boston Glory,1,2,2.0,1,1.0,1,1.0,2,2.0,11,11.0,84.6,22,22.0,98,98,107,107
Ryan Turner,Boston Glory,2,3,1.5,3,1.5,0,0.0,4,2.0,14,7.0,93.3,36,18.0,176,88,49,25
Willie Stewart,Boston Glory,7,6,0.86,9,1.29,3,0.43,13,1.86,140,20.0,96.6,166,23.71,734,105,1023,146
Brendan McCann,Boston Glory,5,4,0.8,7,1.4,4,0.8,9,1.8,75,15.0,92.6,111,22.2,404,81,493,99
Ian Engler,Boston Glory,4,3,0.75,8,2.0,1,0.25,7,1.75,161,40.25,97.0,83,20.75,698,175,1292,323
Braden Eberhard,Boston Glory,4,5,1.25,3,0.75,2,0.5,7,1.75,54,13.5,98.2,75,18.75,178,45,376,94
Dean Bullock,Boston Glory,7,5,0.71,0,0.0,9,1.29,12,1.71,16,2.29,88.9,119,17.0,401,57,74,11
Eugene L'Heureux,Boston Glory,7,3,0.43,6,0.86,4,0.57,11,1.57,34,4.86,94.4,97,13.86,320,46,405,58
Ryan Woodhouse,Boston Glory,7,1,0.14,1,0.14,7,1.0,8,1.14,11,1.57,91.7,89,12.71,165,24,62,9
Ivan Tran,Boston Glory,6,3,0.5,2,0.33,1,0.17,6,1.0,12,2.0,100.0,87,14.5,136,23,63,11
Pat Barron,Boston Glory,3,2,0.67,1,0.33,1,0.33,3,1.0,17,5.67,100.0,50,16.67,133,44,65,22
Brian Wyer,Boston Glory,1,0,0.0,0,0.0,2,2.0,1,1.0,4,4.0,100.0,14,14.0,39,39,3,3
Cole Moore,Boston Glory,5,1,0.2,8,1.6,1,0.2,4,0.8,36,7.2,87.8,81,16.2,432,86,275,55
Ethan Fortin,Boston Glory,4,2,0.5,2,0.5,3,0.75,3,0.75,28,7.0,87.5,64,16.0,149,37,157,39
Jake Taylor,Boston Glory,4,3,0.75,3,0.75,1,0.25,3,0.75,50,12.5,92.6,46,11.5,109,27,461,115
Ilya Yudkovich,Boston Glory,7,3,0.43,8,1.14,2,0.29,5,0.71,96,13.71,95.0,135,19.29,162,23,628,90
Jonah Kurman-Faber,Boston Glory,7,4,0.57,6,0.86,0,0.0,4,0.57,77,11.0,92.8,115,16.43,319,46,497,71
Mike Miller,Boston Glory,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,5,5.0,0,0,0,0
Michael Dillard,Boston Glory,1,0,0.0,0,0.0,0,0.0,0,0.0,2,2.0,100.0,9,9.0,-5,-5,17,17
Noah Backer,Boston Glory,1,1,1.0,0,0.0,1,1.0,0,0.0,14,14.0,87.5,14,14.0,29,29,137,137
Alex Donadio,Boston Glory,2,0,0.0,0,0.0,0,0.0,-1,-0.5,5,2.5,83.3,22,11.0,8,4,5,3
Kuochuan Ponzio,Boston Glory,2,0,0.0,0,0.0,0,0.0,-1,-0.5,4,2.0,80.0,25,12.5,23,12,10,5
Maxwell Rick,Boston Glory,3,0,0.0,0,0.0,0,0.0,-2,-0.67,6,2.0,75.0,28,9.33,41,14,14,5
Jay Talerman,Boston Glory,1,0,0.0,0,0.0,0,0.0,-1,-1.0,1,1.0,100.0,2,2.0,1,1,-5,-5
Alex Donadio,Boston Glory,1,0,0.0,0,0.0,0,0.0,-1,-1.0,2,2.0,66.7,19,19.0,16,16,-5,-5
Greg Martin,Philadelphia Phoenix,9,38,4.22,10,1.11,4,0.44,45,5.0,119,13.22,96.7,168,18.67,2336,260,116,13
Casey Thornton,Philadelphia Phoenix,1,2,2.0,1,1.0,0,0.0,3,3.0,33,33.0,100.0,19,19.0,148,148,95,95
Sean Mott,Philadelphia Phoenix,9,16,1.78,24,2.67,2,0.22,25,2.78,288,32.0,94.7,186,20.67,1705,189,2016,224
Mike Arcata,Philadelphia Phoenix,9,9,1.0,31,3.44,3,0.33,21,2.33,183,20.33,90.1,155,17.22,1674,186,1748,194
Nate Little,Philadelphia Phoenix,9,9,1.0,2,0.22,8,0.89,15,1.67,13,1.44,81.3,105,11.67,421,47,107,12
Marc Sands,Philadelphia Phoenix,4,6,1.5,6,1.5,2,0.5,6,1.5,74,18.5,90.2,70,17.5,621,155,486,122
Eric Witmer,Philadelphia Phoenix,9,7,0.78,7,0.78,6,0.67,13,1.44,58,6.44,92.1,148,16.44,638,71,588,65
Paul Owens,Philadelphia Phoenix,9,9,1.0,7,0.78,2,0.22,13,1.44,113,12.56,96.6,150,16.67,454,50,815,91
Brandon Pastor,Philadelphia Phoenix,7,7,1.0,2,0.29,2,0.29,10,1.43,26,3.71,96.3,92,13.14,454,65,93,13
Colin Masino,Philadelphia Phoenix,8,1,0.13,4,0.5,9,1.13,11,1.38,32,4.0,91.4,119,14.88,234,29,168,21
Alex Thorne,Philadelphia Phoenix,6,4,0.67,12,2.0,0,0.0,7,1.17,197,32.83,95.6,100,16.67,555,93,1408,235
Scott Heyman,Philadelphia Phoenix,9,8,0.89,6,0.67,3,0.33,10,1.11,73,8.11,93.6,138,15.33,788,88,494,55
Brandon Lamberty,Philadelphia Phoenix,1,0,0.0,1,1.0,2,2.0,1,1.0,8,8.0,80.0,14,14.0,5,5,26,26
Jake Butrica,Philadelphia Phoenix,8,5,0.63,8,1.0,3,0.38,8,1.0,81,10.13,91.0,94,11.75,260,33,545,68
Dustin Damiano,Philadelphia Phoenix,8,1,0.13,16,2.0,0,0.0,6,0.75,320,40.0,96.7,142,17.75,199,25,2655,332
Matt Hanna,Philadelphia Phoenix,7,8,1.14,2,0.29,0,0.0,5,0.71,67,9.57,93.1,99,14.14,1082,155,129,18
Matt Esser,Philadelphia Phoenix,6,3,0.5,2,0.33,1,0.17,4,0.67,27,4.5,96.4,75,12.5,154,26,164,27
Matthew Glazer,Philadelphia Phoenix,5,8,1.6,3,0.6,0,0.0,3,0.6,65,13.0,94.2,77,15.4,743,149,196,39
James Pollard,Philadelphia Phoenix,7,2,0.29,2,0.29,5,0.71,4,0.57,29,4.14,85.3,79,11.29,222,32,332,47
Nicholas DiGiorgio,Philadelphia Phoenix,8,4,0.5,1,0.13,3,0.38,2,0.25,27,3.38,87.1,90,11.25,268,34,124,16
Eric Nardelli,Philadelphia Phoenix,9,6,0.67,3,0.33,4,0.44,2,0.22,102,11.33,91.1,145,16.11,287,32,656,73
Allan Michel,Philadelphia Phoenix,9,0,0.0,2,0.22,3,0.33,2,0.22,31,3.44,96.9,98,10.89,244,27,23,3
Austin Lillis,Philadelphia Phoenix,2,0,0.0,0,0.0,0,0.0,0,0.0,12,6.0,100.0,20,10.0,-16,-8,84,42
Jimi O'Connell,Philadelphia Phoenix,2,0,0.0,0,0.0,0,0.0,0,0.0,3,1.5,100.0,14,7.0,5,3,-7,-4
Matthew Ballman,Philadelphia Phoenix,1,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,100.0,11,11.0,20,20,11,11
Connor Boyle,Philadelphia Phoenix,1,1,1.0,0,0.0,0,0.0,0,0.0,9,9.0,90.0,6,6.0,-12,-12,52,52
Max Charles,Philadelphia Phoenix,7,3,0.43,6,0.86,0,0.0,-1,-0.14,116,16.57,92.1,96,13.71,540,77,832,119
Ian Dietrich,Philadelphia Phoenix,4,0,0.0,0,0.0,1,0.25,-1,-0.25,11,2.75,84.6,47,11.75,40,10,42,11
Matt Ellis,Philadelphia Phoenix,5,1,0.2,0,0.0,1,0.2,-3,-0.6,15,3.0,75.0,37,7.4,15,3,108,22
Andrew Seibert,Philadelphia Phoenix,1,0,0.0,0,0.0,1,1.0,-1,-1.0,0,0.0,0.0,10,10.0,10,10,0,0
Cameron Brock,Indianapolis AlleyCats,3,10,3.33,6,2.0,1,0.33,12,4.0,90,30.0,95.7,74,24.67,843,281,599,200
Xavier Payne,Indianapolis AlleyCats,9,12,1.33,22,2.44,13,1.44,35,3.89,446,49.56,97.6,238,26.44,80,9,2883,320
Rick Gross,Indianapolis AlleyCats,8,13,1.63,27,3.38,3,0.38,30,3.75,237,29.63,95.2,199,24.88,1743,218,1699,212
Levi Jacobs,Indianapolis AlleyCats,9,21,2.33,26,2.89,0,0.0,30,3.33,182,20.22,92.9,197,21.89,2555,284,1678,186
Corey Hardesty,Indianapolis AlleyCats,5,11,2.2,3,0.6,2,0.4,16,3.2,24,4.8,100.0,75,15.0,541,108,178,36
Alex Mcclure,Indianapolis AlleyCats,3,2,0.67,1,0.33,6,2.0,9,3.0,7,2.33,100.0,37,12.33,149,50,22,7
Travis Carpenter,Indianapolis AlleyCats,9,13,1.44,29,3.22,2,0.22,25,2.78,440,48.89,96.1,217,24.11,1616,180,3122,347
Cody Curran,Indianapolis AlleyCats,10,13,1.3,7,0.7,7,0.7,22,2.2,37,3.7,90.2,141,14.1,702,70,272,27
Kyle Romard,Indianapolis AlleyCats,9,16,1.78,6,0.67,2,0.22,17,1.89,133,14.78,95.7,193,21.44,1771,197,494,55
Conner Henderson,Indianapolis AlleyCats,9,10,1.11,13,1.44,5,0.56,17,1.89,187,20.78,96.4,147,16.33,818,91,1234,137
Joshua Venegas,Indianapolis AlleyCats,9,5,0.56,1,0.11,10,1.11,15,1.67,10,1.11,90.9,114,12.67,120,13,68,8
Jacob Fella,Indianapolis AlleyCats,6,5,0.83,1,0.17,10,1.67,9,1.5,28,4.67,82.4,120,20.0,503,84,48,8
Chris Walsh,Indianapolis AlleyCats,8,13,1.63,11,1.38,3,0.38,12,1.5,208,26.0,94.1,146,18.25,1026,128,1670,209
Mason Zetsch,Indianapolis AlleyCats,10,7,0.7,5,0.5,4,0.4,13,1.3,32,3.2,91.4,134,13.4,530,53,248,25
Danny Khoe,Indianapolis AlleyCats,4,1,0.25,2,0.5,2,0.5,5,1.25,12,3.0,100.0,44,11.0,103,26,68,17
Nicholas Betsch,Indianapolis AlleyCats,2,1,0.5,0,0.0,2,1.0,2,1.0,8,4.0,88.9,15,7.5,86,43,63,32
Lucas Coniaris,Indianapolis AlleyCats,7,12,1.71,6,0.86,1,0.14,7,1.0,100,14.29,91.7,133,19.0,1126,161,263,38
Trey Dynes,Indianapolis AlleyCats,10,16,1.6,3,0.3,3,0.3,9,0.9,109,10.9,92.4,182,18.2,1346,135,243,24
Jeffery Schubert,Indianapolis AlleyCats,3,1,0.33,1,0.33,1,0.33,2,0.67,7,2.33,100.0,19,6.33,37,12,33,11
Michael Finke,Indianapolis AlleyCats,3,2,0.67,0,0.0,1,0.33,2,0.67,13,4.33,100.0,30,10.0,99,33,-2,-1
Carter Rae,Indianapolis AlleyCats,9,1,0.11,14,1.56,4,0.44,5,0.56,76,8.44,85.4,109,12.11,205,23,769,85
Chris Ginet,Indianapolis AlleyCats,8,2,0.25,3,0.38,0,0.0,4,0.5,42,5.25,97.7,93,11.63,37,5,234,29
Michael Ames,Indianapolis AlleyCats,9,4,0.44,5,0.56,2,0.22,4,0.44,62,6.89,93.9,110,12.22,197,22,444,49
Nick Phillips,Indianapolis AlleyCats,10,3,0.3,1,0.1,1,0.1,4,0.4,7,0.7,87.5,99,9.9,118,12,28,3
Eli Mock,Indianapolis AlleyCats,3,1,0.33,0,0.0,1,0.33,1,0.33,4,1.33,80.0,25,8.33,58,19,7,2
Alex Hamilton,Indianapolis AlleyCats,6,1,0.17,0,0.0,2,0.33,2,0.33,4,0.67,80.0,63,10.5,128,21,-13,-2
Nick Hutton,Indianapolis AlleyCats,9,3,0.33,5,0.56,3,0.33,2,0.22,38,4.22,84.4,133,14.78,150,17,500,56
Kevin Deangelis,Indianapolis AlleyCats,5,1,0.2,1,0.2,1,0.2,0,0.0,7,1.4,70.0,53,10.6,84,17,87,17
Dan Cunningham,Indianapolis AlleyCats,4,0,0.0,1,0.25,0,0.0,0,0.0,9,2.25,90.0,45,11.25,81,20,45,11
Karl Kingma,Indianapolis AlleyCats,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,5,5.0,8,8,0,0
Danny Landesman,Los Angeles Aviators,5,21,4.2,10,2.0,2,0.4,26,5.2,100,20.0,94.3,96,19.2,1371,274,423,85
Sean McDougall,Los Angeles Aviators,8,28,3.5,17,2.13,11,1.38,41,5.13,105,13.13,89.0,182,22.75,2011,251,761,95
Seamus Robinson,Los Angeles Aviators,1,2,2.0,0,0.0,2,2.0,4,4.0,6,6.0,100.0,20,20.0,35,35,14,14
