Team,G,W,L,T,PTS,PPG,PA,PAPG,OEFF,DEFF,+ / -,+/- PG,BLK,BPG,CMP,CPG,CMP %,TO,TPG
Dallas Roughnecks,17,13,4,0,440,25.88,360,21.18,0.42,-0.33,709,41.71,224,13.18,4683,275.47,93.1,395,23.24
Raleigh Flyers,15,13,2,0,389,25.93,325,21.67,0.41,-0.3,665,44.33,198,13.2,3906,260.4,93.8,309,20.6
Madison Radicals,16,13,3,0,356,22.25,304,19.0,0.3,-0.29,621,38.81,232,14.5,3961,247.56,94.2,320,20.0
Toronto Rush,17,13,4,0,445,26.18,386,22.71,0.32,-0.28,734,43.18,238,14.0,4114,242.0,92.7,391,23.0
San Francisco FlameThrowers,17,13,4,0,474,27.88,405,23.82,0.45,-0.39,803,47.24,234,13.76,3773,221.94,92.0,378,22.24
Minnesota Wind Chill,15,11,4,0,348,23.2,297,19.8,0.27,-0.26,508,33.87,240,16.0,3686,245.73,91.4,425,28.33
Los Angeles Aviators,17,11,6,0,425,25.0,404,23.76,0.27,-0.42,634,37.29,184,10.82,4811,283.0,94.5,333,19.59
DC Breeze,16,11,5,0,392,24.5,338,21.13,0.35,-0.33,630,39.38,210,13.13,4169,260.56,93.3,363,22.69
Pittsburgh Thunderbirds,16,10,6,0,374,23.38,362,22.63,0.25,-0.36,550,34.38,225,14.06,3806,237.88,91.6,419,26.19
Tampa Bay Cannons,15,10,5,0,366,24.4,346,23.07,0.4,-0.46,567,37.8,147,9.8,4250,283.33,94.4,310,20.67
Montreal Royal,15,9,6,0,328,21.87,329,21.93,0.25,-0.42,456,30.4,217,14.47,3644,242.93,91.4,415,27.67
San Jose Spiders,16,8,8,0,394,24.63,408,25.5,0.36,-0.47,585,36.56,167,10.44,4547,284.19,94.2,322,20.13
San Diego Growlers,14,7,7,0,318,22.71,330,23.57,0.22,-0.42,501,35.79,168,12.0,3793,270.93,93.7,302,21.57
Seattle Cascades,14,7,7,0,347,24.79,324,23.14,0.35,-0.41,507,36.21,135,9.64,3475,248.21,92.8,312,22.29
New York Empire,14,6,8,0,292,20.86,290,20.71,0.2,-0.37,439,31.36,197,14.07,3093,220.93,91.1,340,24.29
Indianapolis AlleyCats,14,5,9,0,329,23.5,323,23.07,0.25,-0.4,476,34.0,183,13.07,3102,221.57,91.0,361,25.79
Atlanta Hustle,14,5,9,0,344,24.57,349,24.93,0.37,-0.55,556,39.71,165,11.79,3562,254.43,93.2,297,21.21
Austin Sol,14,4,10,0,343,24.5,356,25.43,0.31,-0.49,485,34.64,159,11.36,3603,257.36,92.1,354,25.29
Philadelphia Phoenix,14,4,10,0,301,21.5,343,24.5,0.17,-0.49,395,28.21,147,10.5,3094,221.0,91.1,351,25.07
Chicago Union,14,3,11,0,268,19.14,310,22.14,0.09,-0.44,300,21.43,159,11.36,4125,294.64,93.0,388,27.71
Ottawa Outlaws,14,2,12,0,298,21.29,364,26.0,0.16,-0.58,353,25.21,155,11.07,3129,223.5,90.4,397,28.36
Detroit Mechanix,14,1,13,0,242,17.29,333,23.79,0.0,-0.56,144,10.29,188,13.43,3426,244.71,89.0,524,37.43
Vancouver Riptide,14,1,13,0,269,19.21,355,25.36,0.09,-0.58,305,21.79,188,13.43,3092,220.86,90.2,421,30.07
Nashville Nightwatch,14,0,14,0,273,19.5,414,29.57,0.07,-0.76,251,17.93,122,8.71,2810,200.71,89.0,412,29.43
