Team,G,W,L,T,PTS,PPG,PA,PAPG,OEFF,DEFF,+ / -,+/- PG,BLK,BPG,CMP,CPG,CMP %,TO,TPG
Madison Radicals,17,15,2,0,426,25.06,294,17.29,0.46,-0.18,764,44.94,270,15.88,4108,241.65,93.7,358,21.06
Toronto Rush,16,14,2,0,455,28.44,318,19.88,0.46,-0.17,812,50.75,264,16.5,4159,259.94,93.6,360,22.5
San Jose Spiders,17,13,4,0,408,24.0,373,21.94,0.36,-0.37,608,35.76,184,10.82,4309,253.47,92.4,392,23.06
Pittsburgh Thunderbirds,16,13,3,0,455,28.44,341,21.31,0.46,-0.23,798,49.88,225,14.06,4274,267.13,94.1,336,21.0
Raleigh Flyers,16,12,4,0,425,26.56,368,23.0,0.37,-0.32,689,43.06,229,14.31,3823,238.94,92.5,387,24.19
New York Empire,16,12,4,0,352,22.0,285,17.81,0.23,-0.19,534,33.38,223,13.94,3793,237.06,91.3,393,24.56
Tampa Bay Cannons,15,10,5,0,368,24.53,339,22.6,0.31,-0.37,545,36.33,158,10.53,3679,245.27,92.6,348,23.2
Atlanta Hustle,14,10,4,0,353,25.21,308,22.0,0.36,-0.35,584,41.71,201,14.36,3610,257.86,92.8,322,23.0
Montreal Royal,15,9,6,0,338,22.53,341,22.73,0.18,-0.37,470,31.33,226,15.07,2848,189.87,89.1,427,28.47
Seattle Cascades,16,9,7,0,395,24.69,355,22.19,0.35,-0.38,625,39.06,200,12.5,3069,191.81,91.4,358,22.38
San Francisco FlameThrowers,15,8,7,0,336,22.4,325,21.67,0.21,-0.34,464,30.93,174,11.6,4113,274.2,92.7,382,25.47
Chicago Union,15,8,6,1,326,21.73,267,17.8,0.26,-0.21,411,27.4,180,12.0,3807,253.8,93.5,331,22.07
San Diego Growlers,14,7,7,0,314,22.43,328,23.43,0.23,-0.41,481,34.36,154,11.0,3832,273.71,94.0,301,21.5
Ottawa Outlaws,14,7,7,0,326,23.29,313,22.36,0.26,-0.35,453,32.36,162,11.57,3541,252.93,92.4,360,25.71
Indianapolis AlleyCats,14,7,7,0,340,24.29,306,21.86,0.33,-0.34,530,37.86,179,12.79,3774,269.57,93.1,329,23.5
DC Breeze,14,7,7,0,302,21.57,316,22.57,0.13,-0.35,404,28.86,179,12.79,3182,227.29,90.9,377,26.93
Minnesota Wind Chill,14,6,7,1,292,20.86,303,21.64,0.08,-0.27,426,30.43,266,19.0,3743,267.36,91.8,422,30.14
Los Angeles Aviators,14,5,9,0,290,20.71,318,22.71,0.14,-0.43,372,26.57,142,10.14,3647,260.5,92.4,340,24.29
Vancouver Riptide,14,4,10,0,339,24.21,376,26.86,0.25,-0.54,487,34.79,152,10.86,3756,268.29,93.0,343,24.5
Cincinnati Revolution,14,2,12,0,256,18.29,372,26.57,0.02,-0.65,221,15.79,162,11.57,3986,284.71,91.3,453,32.36
Charlotte Express,14,2,12,0,271,19.36,346,24.71,0.07,-0.49,342,24.43,166,11.86,3587,256.21,92.3,363,25.93
Nashville Nightwatch,14,2,12,0,285,20.36,344,24.57,0.18,-0.59,312,22.29,152,10.86,3991,285.07,92.3,410,29.29
Rochester Dragons,14,1,13,0,255,18.21,371,26.5,-0.04,-0.56,201,14.36,142,10.14,3841,274.36,91.6,451,32.21
Philadelphia Phoenix,14,1,13,0,257,18.36,346,24.71,-0.01,-0.47,251,17.93,150,10.71,2996,214.0,89.8,410,29.29
Salt Lake Lions,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0
Detroit Mechanix,14,0,14,0,233,16.64,444,31.71,-0.17,-0.72,110,7.86,135,9.64,3743,267.36,90.1,490,35.0
