Team,G,W,L,T,PTS,PPG,PA,PAPG,OEFF,DEFF,+ / -,+/- PG,BLK,BPG,CMP,CPG,CMP %,TO,TPG
Chicago Union,11,9,2,0,240,21.82,185,16.82,0.58,-0.43,439,39.91,101,9.18,2739,249.0,96.3,140,12.73
San Diego Growlers,10,8,2,0,201,20.1,181,18.1,0.47,-0.57,313,31.3,103,10.3,2167,216.7,93.1,191,19.1
Dallas Roughnecks,12,8,4,0,243,20.25,219,18.25,0.42,-0.47,386,32.17,124,10.33,3171,264.25,93.8,224,18.67
Atlanta Hustle,10,8,2,0,208,20.8,178,17.8,0.57,-0.61,371,37.1,107,10.7,2034,203.4,94.2,152,15.2
DC Breeze,10,8,2,0,218,21.8,162,16.2,0.63,-0.44,413,41.3,121,12.1,3221,322.1,96.7,143,14.3
Minnesota Wind Chill,9,7,2,0,195,21.67,161,17.89,0.51,-0.47,337,37.44,108,12.0,2749,305.44,95.1,160,17.78
Raleigh Flyers,10,7,3,0,241,24.1,188,18.8,0.61,-0.43,431,43.1,100,10.0,2551,255.1,95.4,151,15.1
Madison Radicals,11,7,4,0,242,22.0,203,18.45,0.38,-0.35,408,37.09,111,10.09,2990,271.82,95.1,187,17.0
New York Empire,8,6,2,0,181,22.63,158,19.75,0.57,-0.58,309,38.63,73,9.13,2029,253.63,94.5,126,15.75
Austin Sol,12,6,6,0,258,21.5,252,21.0,0.3,-0.46,402,33.5,157,13.08,3240,270.0,93.4,270,22.5
Los Angeles Aviators,10,4,6,0,182,18.2,194,19.4,0.34,-0.63,231,23.1,92,9.2,2305,230.5,92.2,225,22.5
Seattle Cascades,11,3,8,0,207,18.82,233,21.18,0.18,-0.49,266,24.18,108,9.82,2549,231.73,92.4,256,23.27
Boston Glory,8,3,5,0,182,22.75,183,22.88,0.45,-0.62,305,38.13,81,10.13,2069,258.63,94.6,140,17.5
Philadelphia Phoenix,10,3,7,0,179,17.9,215,21.5,0.26,-0.69,228,22.8,80,8.0,2470,247.0,93.2,210,21.0
San Jose Spiders,9,3,6,0,175,19.44,187,20.78,0.29,-0.54,245,27.22,94,10.44,1882,209.11,92.2,196,21.78
Indianapolis AlleyCats,11,3,8,0,219,19.91,231,21.0,0.37,-0.59,330,30.0,106,9.64,2805,255.0,94.2,208,18.91
Ottawa Outlaws,3,2,1,0,71,23.67,65,21.67,0.62,-0.72,130,43.33,39,13.0,801,267.0,92.2,79,26.33
Tampa Bay Cannons,11,2,9,0,188,17.09,263,23.91,0.17,-0.77,197,17.91,97,8.82,2546,231.45,91.6,275,25.0
Montreal Royal,3,2,1,0,59,19.67,60,20.0,0.48,-0.63,114,38.0,47,15.67,953,317.67,93.3,81,27.0
Pittsburgh Thunderbirds,9,1,8,0,167,18.56,217,24.11,0.26,-0.76,210,23.33,81,9.0,2246,249.56,92.8,204,22.67
Detroit Mechanix,10,0,10,0,151,15.1,267,26.7,-0.04,-0.82,101,10.1,79,7.9,2640,264.0,91.8,280,28.0
Toronto Rush,2,0,2,0,40,20.0,45,22.5,0.4,-0.77,58,29.0,18,9.0,416,208.0,92.9,40,20.0
